#{"t_start": 1764648510.9722242, "env_id": "EmergencyHighwayEnv-v0"}
r,l,t
54.64509,80,1.786314
54.375166,80,3.427822
22.545918,32,4.124915
20.460147,29,4.786918
15.508429,22,5.263459
54.434844,80,7.021051
17.656133,25,7.584665
54.579278,80,9.42532
42.697694,62,10.75979
54.288313,80,12.556856
54.858461,80,14.310731
55.02918,80,16.153826
54.499634,80,17.884413
54.422737,80,19.650703
20.347135,29,20.255199
17.635834,25,20.810764
53.964052,80,22.715373
54.355722,80,24.469035
16.430248,23,24.993742
44.155087,63,26.483642
54.189964,80,28.215094
16.478619,23,28.723659
10.436589,14,29.051338
31.617043,45,30.081878
47.911165,70,31.631789
54.474395,80,33.530024
54.059894,80,35.324936
54.208664,80,37.009361
54.180507,80,38.68871
55.114981,80,40.460999
55.556803,80,42.210081
54.237043,80,44.052326
29.885304,43,45.045515
54.267609,80,46.819063
11.487843,16,47.174095
22.446728,31,47.874401
54.529621,80,49.569457
54.583773,80,51.348746
6.281175,8,51.513846
15.096086,21,51.989197
46.671013,68,53.556092
54.770796,80,55.358854
14.454559,20,55.82221
54.075122,80,57.64188
54.216194,80,59.412683
16.160279,23,59.940077
54.696619,80,61.66199
54.92097,80,63.460563
10.17806,14,63.782031
54.236607,80,65.441026
53.840279,80,67.257684
14.98017,21,67.728689
55.01617,80,69.530042
54.807512,80,71.330775
54.78851,80,73.087304
12.952698,18,73.477834
54.711963,80,75.244079
54.766081,80,77.028254
27.176593,39,77.906708
20.930684,29,78.5669
54.698115,80,80.374811
54.122757,80,82.158526
54.300508,80,83.833583
55.158922,80,85.561951
54.63395,80,87.271249
54.683518,80,89.062863
54.233221,80,90.871703
54.62931,80,93.190171
13.497047,19,93.594398
54.247679,80,95.422171
54.221065,80,97.07189
54.598972,80,98.893488
17.781054,25,99.458743
28.068075,41,100.346169
54.130503,80,102.036291
7.554002,10,102.257499
54.045753,80,104.011
54.058205,80,105.693091
55.970391,80,107.478753
54.462235,80,109.343976
54.625579,80,111.112297
54.627144,80,112.834846
55.205584,80,114.63111
54.812508,80,116.438909
53.930199,80,118.165429
54.011639,80,119.86438
55.248,80,121.539058
54.409101,80,123.327482
54.067789,80,125.010688
53.507399,80,126.702891
10.131484,14,127.01506
54.342144,80,128.826278
8.901687,12,129.088674
16.122675,23,129.603801
17.446517,24,130.160727
12.515298,17,130.542763
9.418059,13,130.842973
54.3659,80,132.663023
41.324117,60,133.999385
54.912322,80,135.750229
55.197679,80,137.625933
54.543133,80,139.433555
6.941639,9,139.646416
54.464813,80,141.373574
54.562612,80,143.178801
54.581367,80,144.940751
55.356856,80,146.683108
54.60799,80,148.450692
54.897821,80,150.301835
53.902502,80,152.116411
54.161694,80,153.763621
54.049496,80,155.534817
54.09847,80,157.363495
54.598412,80,159.128855
19.551876,28,159.766803
53.746047,80,161.729817
54.40521,80,163.51512
16.327567,23,164.047368
54.654633,80,165.816748
54.966356,80,167.574242
19.933235,28,168.229059
54.174122,80,169.914407
54.386044,80,171.607466
54.108471,80,173.527659
54.360263,80,175.259815
54.239916,80,177.079715
55.54337,80,178.784016
54.511484,80,180.554402
54.782059,80,182.729574
55.299113,80,184.499229
54.149084,80,186.240477
8.898268,12,186.520071
54.479846,80,188.260413
54.946428,80,189.998384
54.389005,80,191.774354
54.32199,80,193.42983
54.078003,80,195.257787
54.507328,80,197.086771
54.43782,80,198.831028
24.836801,36,199.58797
54.216009,80,201.425845
55.045019,80,203.168865
10.546057,14,203.483341
11.223932,15,203.820248
8.177041,11,204.049919
54.79192,80,205.914932
54.071582,80,207.712857
55.090337,80,209.566909
22.991008,33,210.270994
53.992918,80,212.088252
54.580691,80,213.891575
8.856535,12,214.174638
17.137528,24,214.71748
16.069885,23,215.208423
54.204839,80,216.914737
54.753494,80,218.639948
54.583889,80,220.422349
54.456903,80,222.228331
54.55565,80,224.043411
54.114487,80,225.811122
54.242489,80,227.638482
4.754329,6,227.774424
14.298017,20,228.233317
54.507397,80,230.036188
53.938945,80,231.839971
54.136309,80,233.682
22.259332,32,234.369381
51.133291,74,235.998704
17.842469,25,236.543494
54.395528,80,238.257403
54.016881,80,239.951561
44.829018,65,241.410657
54.228195,80,243.260609
55.243762,80,245.128345
53.897226,80,246.915741
54.91857,80,248.567824
54.251269,80,250.228348
54.832747,80,252.027629
54.134592,80,253.781629
54.856031,80,255.634341
27.941136,40,256.553869
10.516668,14,256.865603
54.015245,80,258.698297
54.200688,80,260.450606
53.845821,80,262.115567
54.162468,80,263.823731
25.679227,37,264.62905
54.394559,80,266.407676
8.208797,11,266.64548
54.072593,80,268.4021
54.246457,80,270.104445
53.744571,80,271.912418
7.423856,10,272.145568
53.58727,80,274.348475
10.060333,14,274.659102
54.153889,80,276.423665
54.014987,80,278.195983
55.045667,80,279.996611
54.367073,80,281.809686
54.818408,80,283.617755
54.474495,80,285.40708
54.351349,80,287.209308
10.847199,15,287.551872
54.318209,80,289.502026
32.918363,48,290.618933
54.932187,80,292.386031
13.480141,19,292.814159
55.380714,80,294.571985
39.021146,55,295.855465
53.905375,80,297.649254
24.201503,35,298.40739
54.126288,80,300.174159
35.026603,51,301.309473
54.823313,80,303.082089
54.232321,80,304.883465
54.073084,80,306.540475
54.710731,80,308.287439
54.41169,80,310.14974
55.019696,80,311.932829
54.141301,80,313.65464
43.208653,62,314.982211
55.40165,80,316.729584
19.398055,28,317.33878
53.820307,80,319.121685
53.897469,80,320.816937
18.342514,26,321.407962
54.935059,80,323.270529
32.421286,45,324.395984
54.077352,80,326.172261
54.643809,80,327.931005
55.591295,80,329.709391
54.350985,80,331.496235
55.060283,80,333.299053
18.350369,26,333.879058
55.421814,80,335.779738
21.625569,31,336.498046
53.975984,80,338.224681
53.8216,80,339.919552
6.192737,8,340.109297
54.382377,80,341.790998
54.12131,80,343.535467
54.410689,80,345.343513
54.023425,80,347.154776
54.502898,80,348.949046
55.102145,80,350.752097
54.485952,80,352.446482
54.537001,80,354.256507
54.223996,80,356.122185
54.578077,80,357.968795
54.815934,80,359.770326
4.309867,5,359.890713
23.170354,33,360.632217
54.329678,80,362.337782
53.767492,80,364.118145
7.395731,10,364.368265
53.875665,80,366.508436
54.249025,80,368.28987
54.763357,80,370.262415
54.049784,80,372.049336
30.240329,43,373.004099
54.450424,80,374.865244
54.520806,80,376.557766
7.382134,10,376.782558
54.277938,80,378.529117
55.249122,80,380.34379
54.79204,80,382.232892
54.35695,80,383.947413
54.09124,80,385.642023
46.331233,67,387.1671
54.176843,80,388.912428
21.000352,29,389.585911
55.13883,80,391.408864
53.884014,80,393.270613
54.605206,80,395.039576
7.382134,10,395.269059
53.955374,80,397.089486
55.210218,80,398.883332
53.979833,80,400.56266
54.211889,80,402.280439
54.142091,80,404.039758
54.261659,80,405.866017
54.772156,80,407.71696
53.805935,80,409.394733
54.268546,80,411.228979
6.963793,9,411.439555
55.448035,80,413.182095
54.365174,80,414.99854
