#{"t_start": 1764636721.6804187, "env_id": "EmergencyHighwayEnv-v0"}
r,l,t
54.684723,80,1358.450037
53.600279,80,1360.184763
53.724723,80,1361.893532
53.744723,80,1363.670886
54.364718,80,1365.47189
53.706946,80,1367.273715
53.600279,80,1368.891214
53.546946,80,1370.703158
53.546946,80,1372.412959
54.044723,80,1374.135242
53.882442,80,2729.407061
54.04186,80,2731.196286
53.804664,80,2732.893315
54.0813,80,2734.580803
54.364723,80,2736.37184
54.06804,80,2738.197635
53.724723,80,2739.90603
54.037333,80,2741.583049
53.746795,80,2743.368106
54.208247,80,2745.047493
53.892168,80,4111.693632
53.546946,80,4113.509846
54.944231,80,4115.257267
54.837047,80,4117.031033
53.964472,80,4118.803786
55.001375,80,4120.671619
55.353456,80,4122.44593
54.701115,80,4124.210238
54.795472,80,4126.071539
54.123308,80,4127.912146
58.86516,80,5516.243539
60.369349,80,5518.060628
59.099378,80,5519.840887
61.066388,80,5521.699913
60.945046,80,5523.611427
56.665559,80,5525.398359
57.404507,80,5527.21534
58.430037,80,5529.101425
57.777536,80,5530.945715
61.04861,80,5532.802572
62.00861,80,6934.416216
62.00861,80,6936.304914
62.186388,80,6938.192085
62.186388,80,6940.100776
62.186388,80,6942.014075
62.124821,80,6943.929543
62.186388,80,6945.791247
62.00861,80,6947.719381
62.186388,80,6949.633429
62.00861,80,6951.53512
62.115409,80,8398.584587
62.089921,80,8400.554407
62.232935,80,8402.464134
62.029266,80,8404.391819
62.215932,80,8406.348992
62.056589,80,8408.358002
62.183785,80,8410.251262
62.035932,80,8412.134687
62.038154,80,8414.057755
62.00861,80,8415.985883
,32.446192
10.576806,14,32.74111
22.310082,29,33.387038
15.665567,20,33.848856
19.319174,25,34.414513
14.976789,20,34.875747
9.095215,12,35.137568
28.296969,38,35.995013
28.797123,39,36.867131
8.020013,10,37.092865
2.934593,3,37.167979
12.278359,16,37.522755
8.182071,11,37.757324
31.37691,41,38.685699
22.45084,29,39.291329
8.477117,11,39.550556
18.384002,25,40.127631
35.357468,49,41.161027
14.086609,19,41.591429
10.929823,14,41.927093
5.927016,7,42.08475
5.384233,7,42.234943
6.060921,8,42.39766
3.713522,4,42.498543
4.506116,5,42.610438
18.299922,26,43.162591
4.757448,6,43.301923
9.718222,12,43.587739
6.202182,8,43.767249
7.473751,10,43.996753
7.460698,9,44.188032
6.579952,8,44.391845
12.091652,17,44.782868
10.551598,14,45.10065
7.455209,9,45.315195
8.036571,11,45.566863
5.232311,6,45.712717
4.858008,6,45.870042
13.711117,18,46.272354
17.214305,22,46.77384
8.141671,11,46.998796
6.139456,8,47.181445
4.186454,5,47.292575
12.068457,15,47.641281
26.773787,36,48.447703
8.981597,12,48.694136
8.061249,10,48.915017
56.804378,75,50.613743
3.636919,4,50.712286
13.342069,17,51.103487
5.925634,7,51.273302
13.21426,17,51.664583
16.452492,21,52.175127
11.987535,15,52.534422
4.37973,5,52.648866
12.694798,17,53.004095
14.540452,19,53.417939
16.501948,22,53.887533
10.44575,14,54.19153
18.5653,24,54.743902
16.486656,21,55.249701
5.125529,6,55.389113
15.857242,21,55.864492
9.427741,13,56.169911
16.260599,21,56.650621
8.059538,10,56.877334
11.693505,16,57.224804
8.159932,10,57.463743
14.987009,19,57.908785
10.355111,13,58.179524
8.035253,11,58.436575
3.662028,4,58.533617
4.163391,5,58.647329
13.37804,17,59.028652
8.867513,12,59.275645
33.373981,47,60.317576
12.105998,15,60.681299
12.370032,16,61.039542
16.024689,21,61.508384
13.657811,19,61.921913
4.210282,5,62.036968
11.87388,16,62.39308
4.758946,6,62.52417
17.847401,23,63.069269
3.587785,4,63.166274
14.373864,19,63.610967
3.636916,4,63.705158
5.159187,6,63.835789
13.376022,17,64.221678
8.689809,11,64.462787
3.545491,4,64.556704
25.066735,34,65.338368
23.626864,32,66.044043
6.96543,9,66.245219
3.603949,4,66.338894
9.198044,12,66.605784
8.541652,11,66.838553
4.132325,5,66.963078
18.721175,25,67.552937
12.790796,17,67.947011
6.520669,8,68.130718
47.758819,65,69.638414
22.538429,30,70.335235
8.924444,12,70.602164
11.595186,15,70.94291
20.116352,27,71.575868
15.497793,21,72.03448
7.626829,10,72.25127
3.693434,4,72.347264
10.358805,14,72.664662
8.611802,11,72.912574
6.59687,8,73.086442
14.217395,19,73.504654
4.192313,5,73.630098
14.112646,18,74.025504
18.800192,26,74.596372
4.779071,6,74.736769
11.729745,15,75.08234
9.605883,12,75.348438
47.471712,64,76.844895
13.953575,18,77.253018
11.926386,16,77.621095
19.15797,25,78.189935
10.445178,14,78.503383
7.301938,9,78.687986
20.22706,28,79.317213
12.280678,17,79.698654
10.962384,14,80.038753
16.295626,22,80.581123
14.898883,20,81.032269
5.082519,6,81.160145
5.542195,7,81.317605
4.874886,6,81.454562
4.24921,5,81.562948
55.175152,75,83.220644
4.325254,5,83.334306
7.408184,9,83.562297
24.132732,33,84.319137
13.097991,18,84.728632
4.965752,6,84.869076
26.120618,34,85.646159
21.235624,28,86.290491
10.038605,13,86.576306
9.789476,13,86.850575
8.530439,11,87.098307
4.13237,5,87.210122
12.654286,17,87.574739
5.826749,7,87.732673
7.864524,10,87.959733
26.10279,36,88.717656
14.911085,19,89.161782
9.65822,12,89.435231
7.398478,9,89.6543
6.420229,8,89.837282
12.808122,17,90.217808
18.204192,24,90.768772
6.468939,8,90.945758
5.413748,7,91.09738
7.490431,9,91.296809
6.817718,9,91.499288
8.731015,12,91.792163
15.699142,20,92.254705
9.435566,12,92.528262
12.886756,17,92.891821
4.909033,6,93.025976
21.310382,30,93.691486
10.605897,14,94.002579
15.893948,21,94.470502
9.192787,12,94.737267
15.631613,21,95.190847
4.408108,5,95.307476
5.964156,7,95.472657
17.659041,25,96.023382
6.743571,9,96.21377
8.036082,11,96.485231
9.914036,13,96.768312
8.121204,11,97.014115
9.12728,12,97.268435
19.350169,27,97.874755
8.027669,10,98.099179
43.88961,59,99.842507
22.44622,31,100.535454
9.001697,12,100.786041
12.787572,17,101.161769
11.324757,14,101.506609
10.020062,13,101.789647
9.118866,12,102.058875
4.972541,6,102.210248
6.223659,8,102.400512
35.74647,49,103.520724
17.678746,25,104.099686
13.569298,18,104.506908
26.099071,37,105.323741
8.788363,11,105.574937
8.208293,11,105.798939
8.869544,12,106.060701
14.984324,20,106.521319
44.900646,63,107.959777
18.958463,26,108.526663
56.212021,80,110.375163
2.934593,3,110.452586
11.976196,16,110.808586
37.854748,51,111.98644
4.314504,5,112.102572
9.581293,13,112.412964
7.559441,10,112.631883
7.409394,10,112.847823
26.928476,37,113.703551
6.753786,9,113.931199
6.343144,8,114.106617
19.761666,28,114.766324
10.349431,13,115.067815
6.476592,8,115.24904
11.400689,15,115.581203
8.177431,10,115.804931
8.136653,11,116.042424
5.138125,6,116.183259
8.92664,12,116.450891
8.365416,11,116.693805
15.853486,21,117.158166
15.938801,21,117.622005
11.818413,16,117.983902
11.27761,15,118.315477
4.397451,5,118.432941
