#{"t_start": 1765401922.4641345, "env_id": "highway-v0"}
r,l,t
29.360815,40,22450.763896
27.583037,40,22457.653319
27.583037,40,22464.325641
27.583037,40,22470.986945
28.471926,40,22477.842582
28.471926,40,22484.997862
29.360815,40,22492.000181
29.360815,40,22498.782572
28.471926,40,22505.753524
29.360815,40,22512.733673
29.360815,40,22519.657658
27.583037,40,22526.393112
26.694148,40,22533.186819
28.471926,40,22540.458565
28.471926,40,22547.224287
29.360815,40,22554.031244
26.694148,40,22561.046009
29.360815,40,22568.030065
28.471926,40,22574.713462
28.471926,40,22581.449191
27.583037,40,22588.128901
26.694148,40,22595.030485
29.360815,40,22601.698762
29.360815,40,22608.549336
28.471926,40,22615.031823
29.360815,40,22621.747529
27.583037,40,22628.435988
29.360815,40,22635.069837
29.360815,40,22641.856507
28.471926,40,22648.463159
26.694148,40,22655.100037
29.360815,40,22661.662752
28.471926,40,22668.378609
29.360815,40,22675.123595
27.583037,40,22681.600944
27.583037,40,22688.29782
28.471926,40,22695.050491
29.360815,40,22701.892074
27.583037,40,22708.547405
27.583037,40,22715.408497
28.471926,40,22722.262524
28.471926,40,22730.359183
28.471926,40,22737.442692
29.360815,40,22744.227939
27.583037,40,22750.741121
26.694148,40,22757.696681
27.583037,40,22764.460033
29.360815,40,22771.21525
27.583037,40,22778.031738
28.471926,40,22784.856794
28.471926,40,22791.72533
26.694148,40,22798.358468
29.360815,40,22804.981917
29.360815,40,22811.757999
27.583037,40,22818.587141
26.694148,40,22825.426651
28.471926,40,22832.037549
27.583037,40,22838.85702
29.360815,40,22845.565713
26.694148,40,22852.39834
27.583037,40,22859.630143
28.471926,40,22866.565284
29.360815,40,22873.52121
27.583037,40,22880.506158
27.583037,40,22887.293838
27.583037,40,22893.93011
26.694148,40,22900.744519
27.583037,40,22907.75407
27.583037,40,22914.505842
26.694148,40,22921.220129
26.694148,40,22927.83884
26.694148,40,22934.473362
29.360815,40,22941.372686
29.360815,40,22948.098109
26.694148,40,22954.856924
27.583037,40,22961.528432
28.471926,40,22968.376842
28.471926,40,22975.146581
26.694148,40,22981.947448
27.583037,40,22988.644407
29.360815,40,22995.326192
28.471926,40,23002.199172
26.694148,40,23009.002021
28.471926,40,23015.625644
29.360815,40,23022.25962
27.583037,40,23029.005919
26.694148,40,23035.978282
27.583037,40,23042.649465
29.360815,40,23049.5793
26.694148,40,23056.259584
29.360815,40,23063.209865
28.471926,40,23069.944715
29.360815,40,23076.548098
26.694148,40,23083.129542
26.694148,40,23089.684827
28.471926,40,23096.205157
29.360815,40,23102.868682
27.583037,40,23109.312789
26.694148,40,23115.912115
28.471926,40,23122.531686
29.360815,40,23129.162816
27.583037,40,23135.921624
26.694148,40,23142.57488
28.471926,40,23149.374115
28.471926,40,23156.186082
27.583037,40,23163.137143
27.583037,40,23170.040572
26.694148,40,23176.737379
26.694148,40,23183.250857
27.583037,40,23190.053861
29.360815,40,23197.113301
29.360815,40,23203.579889
29.360815,40,23210.356544
26.694148,40,23217.023369
29.360815,40,23223.805398
28.471926,40,23230.477886
27.583037,40,23237.116353
28.471926,40,23243.858439
28.471926,40,23250.558887
28.471926,40,23257.273596
26.694148,40,23263.778923
28.471926,40,23270.358311
28.471926,40,23277.288389
27.583037,40,23283.840292
28.471926,40,23290.589417
27.583037,40,23297.226949
28.471926,40,23304.09261
28.471926,40,23310.872695
28.471926,40,23317.55241
18.560815,27,23321.992032
29.360815,40,23330.075808
28.471926,40,23337.681489
27.583037,40,23344.562819
29.360815,40,23351.185861
26.694148,40,23357.825047
27.583037,40,23364.620657
27.583037,40,23371.198124
29.360815,40,23378.042953
29.360815,40,23384.734237
28.471926,40,23391.384131
26.694148,40,23398.26578
