#{"t_start": 1765401920.2539356, "env_id": "highway-v0"}
r,l,t
6.657979,9,5.748297
3.354619,5,7.478489
8.84702,11,11.024034
7.150461,9,14.060807
7.125901,9,17.029274
3.374129,5,18.664519
5.603054,8,21.153612
4.671832,6,23.111103
1.905423,3,24.15524
11.772635,15,29.125393
5.50312,7,31.361113
4.48564,7,33.677899
5.016967,6,35.61088
3.48687,5,37.165277
19.429051,26,45.579584
6.620588,9,48.644524
2.506642,4,49.943658
4.021946,6,51.914814
5.597031,7,54.222779
15.577159,19,60.288904
4.872179,6,62.270126
6.799418,9,65.276006
2.815863,4,66.64542
7.657587,10,69.880617
1.907217,3,70.756639
14.928469,21,77.824734
3.021704,4,78.983929
7.750232,10,82.34282
9.018896,13,86.460763
4.795609,6,94.76504
15.393893,22,102.036237
3.638534,5,103.653009
9.376238,13,107.849403
7.998484,12,111.891544
11.996415,17,117.350184
3.817549,5,118.869054
3.725799,5,120.508995
5.457055,7,122.790625
13.019616,15,127.780235
30.277999,40,140.748125
16.863292,20,147.328935
26.636811,35,158.806916
12.91513,17,164.318463
11.904615,15,169.351799
12.734198,17,174.955689
23.834536,30,191.071596
11.126735,15,196.024087
15.818402,20,202.457758
4.865178,6,204.380748
21.036915,28,213.608212
16.552903,22,220.748219
8.639719,12,224.860149
28.618613,40,237.701615
7.439185,9,240.748354
1.860979,3,241.739309
2.017766,3,242.565599
1.951111,3,243.672939
12.859162,16,248.854675
25.04647,34,264.249909
15.378695,20,271.195053
4.360814,7,279.94315
20.637803,28,289.21097
12.107975,16,294.621441
26.833118,35,306.209024
4.016987,5,307.686886
24.230117,33,318.669691
1.134547,2,319.201596
25.521298,33,330.17905
1.598501,3,331.016146
5.929421,8,333.786848
15.821868,22,341.03545
2.48739,4,342.396641
15.21191,19,348.467191
29.885371,40,361.560856
13.275697,16,372.943936
12.944563,16,378.347078
13.471926,18,384.266618
3.911693,6,386.330179
9.790377,13,390.50359
28.712518,38,403.024831
28.285798,40,416.582002
29.817731,40,429.534656
8.399457,12,433.454154
9.04751,13,437.798939
26.681588,38,450.169075
30.782908,40,469.654221
29.185367,40,482.729406
9.44564,14,487.201428
20.302639,29,496.817948
25.929888,35,508.340566
4.552976,7,510.555072
11.502482,14,515.263505
30.610404,40,528.276533
6.668818,9,531.362562
5.73438,8,533.916568
28.799146,40,552.929951
10.191346,12,556.91346
2.914729,5,558.539065
4.928895,7,560.948194
26.804574,36,572.696073
4.528231,6,574.56192
29.11637,40,587.723484
22.573674,31,598.037244
19.722267,25,606.613023
28.933554,40,619.7257
31.13586,40,632.960521
25.379841,35,650.896787
28.82243,40,663.862099
28.138421,40,677.202971
3.626226,6,679.013743
24.812522,35,690.537239
29.908885,40,703.906223
12.233732,15,708.72258
27.671925,40,721.973377
28.423242,40,741.333007
28.754274,40,754.477714
6.402462,10,757.920678
30.379904,40,771.087021
