#{"t_start": 1765355085.6674612, "env_id": "highway-v0"}
r,l,t
29.360815,40,46485.439995
26.694148,40,46489.26357
26.694148,40,46493.111014
28.005259,40,46496.95146
29.360815,40,46500.769533
29.494148,40,46504.657482
26.694148,40,46508.539528
26.694148,40,46512.453504
27.583037,40,46516.355305
30.995312,40,46520.312182
26.960815,40,46524.299419
27.627481,40,46528.283569
27.227481,40,46532.260029
29.360815,40,46536.180966
28.560815,40,46540.214623
29.360815,40,46544.189055
28.627481,40,46548.23765
29.360815,40,46552.220499
29.360815,40,46556.202643
29.005259,40,46560.280674
27.583037,40,46564.349653
27.583037,40,46568.39363
26.694148,40,46572.379033
27.583037,40,46576.443639
26.694148,40,46580.496092
28.471926,40,46584.60319
29.360815,40,46588.595634
26.694148,40,46592.654115
27.583037,40,46596.684106
29.360815,40,46600.814368
29.627481,40,46604.964429
28.671926,40,46609.034569
29.360815,40,46613.135592
26.694148,40,46617.213861
29.360815,40,46621.360611
29.494148,40,46625.434619
26.694148,40,46629.491456
29.360815,40,46633.562225
29.360815,40,46637.638771
29.360815,40,46641.743838
27.627481,40,46645.772714
29.355453,40,46649.897668
28.471926,40,46654.02644
26.694148,40,46658.196124
28.049704,40,46662.308801
26.694148,40,46666.387258
27.583037,40,46670.479742
29.360815,40,46674.608116
26.694148,40,46678.734077
26.694148,40,46682.853892
29.515701,40,46686.962761
29.360815,40,46691.076086
26.694148,40,46695.264432
27.583037,40,46699.384573
28.494148,40,46703.430004
29.360815,40,46707.528299
30.393665,40,46711.703972
29.360815,40,46715.767156
28.471926,40,46719.925677
26.694148,40,46724.054588
28.471926,40,46728.134026
26.694148,40,46732.25275
26.694148,40,46736.346056
28.471926,40,46740.408167
28.471926,40,46744.516998
29.360815,40,46748.59208
29.360815,40,46752.665096
27.583037,40,46756.807657
2.694125,5,46757.316846
29.360815,40,46761.39647
26.694148,40,46765.558348
28.471926,40,46769.71403
28.938592,40,46773.818273
27.583037,40,46777.938268
28.71637,40,46782.074121
29.360815,40,46786.278855
28.471926,40,46790.405863
28.138592,40,46794.524789
29.427462,40,46798.60372
30.027481,40,46802.6901
29.360815,40,46806.811103
29.360815,40,46810.908064
26.694148,40,46814.981099
29.360815,40,46819.085641
26.694148,40,46823.200747
28.227481,40,46827.294468
29.360815,40,46831.439977
27.427481,40,46835.498302
27.583037,40,46839.583314
28.471926,40,46843.677026
29.360815,40,46847.814198
27.583037,40,46851.96009
27.583037,40,46856.01167
27.583037,40,46860.142321
28.471926,40,46864.258556
27.294148,40,46868.418796
28.471926,40,46872.442588
28.471926,40,46876.531918
28.471926,40,46880.674398
