#{"t_start": 1765355084.6931121, "env_id": "highway-v0"}
r,l,t
5.68297,7,3.800104
8.553513,13,6.097992
12.305544,17,9.003241
1.884995,3,9.52906
24.465236,33,15.229502
12.271327,17,18.129949
2.958144,5,18.9988
8.856905,11,20.882376
8.05837,11,22.758477
1.912913,3,23.275956
1.114255,2,23.627715
10.102566,14,26.01468
8.122925,11,27.873803
3.748366,5,28.726671
11.773093,16,31.478175
32.93482,40,38.281421
1.799224,3,38.806119
30.473456,40,45.619931
10.75191,14,48.131155
6.981402,9,49.674427
15.084634,21,53.276606
1.95647,3,53.794048
31.044134,40,60.67688
1.862773,3,61.185908
11.024022,13,63.446046
7.59339,10,65.161208
14.506902,21,68.760282
19.549516,23,72.730262
1.087786,2,73.086309
13.920139,19,76.372352
1.131875,2,76.726818
4.770338,6,77.740914
10.878151,13,79.961783
17.16176,22,83.750669
2.573797,4,84.448203
20.300532,27,89.040066
6.571027,8,90.425281
7.640034,11,92.445506
31.591694,40,99.362719
7.201054,10,101.064977
13.248995,17,103.95731
27.785759,36,110.303528
11.480602,14,112.707391
11.414003,14,115.109951
4.536155,6,116.153991
5.375836,8,117.536753
1.927645,3,118.072759
31.653683,40,124.947989
1.821659,3,125.463959
6.688313,9,127.036209
5.395331,7,128.225867
7.326195,9,129.76588
30.546081,34,135.686102
5.959179,9,137.294347
9.752638,12,139.376843
15.171239,18,142.50436
14.900081,20,145.945653
1.487948,3,146.461251
30.946116,39,153.372091
33.168265,40,160.321214
11.204133,14,162.758364
3.649566,6,163.778683
6.478607,8,165.14928
21.113079,29,170.087497
28.193054,40,176.988016
6.521794,8,178.349566
18.390139,23,182.431632
3.615866,5,183.29552
30.768786,40,190.362826
0.977215,2,190.691913
29.11305,34,196.605694
29.084928,40,203.476385
29.949381,40,210.338969
25.806654,34,216.197377
6.891279,10,217.913595
5.308254,7,219.116601
29.82076,40,226.125963
5.637255,8,227.498826
10.731708,15,230.076642
29.55411,39,236.720847
17.258009,24,240.828502
6.935705,8,242.191006
12.664713,15,244.736145
19.909084,25,248.951937
3.441465,5,249.804883
21.880699,27,254.404932
3.714154,6,255.423705
21.930468,32,260.91217
25.69801,32,266.402618
