#{"t_start": 1765321776.7525382, "env_id": "highway-v0"}
r,l,t
29.005259,40,16814.425645
26.960815,40,16829.680694
28.471926,40,16845.102665
27.383037,40,16860.809204
29.360815,40,16877.124058
26.694148,40,16894.537706
29.360815,40,16911.994176
28.471926,40,16927.888294
6.027481,10,16931.827987
28.983037,40,16947.910999
26.694148,40,16963.902367
28.671926,40,16979.138641
29.360815,40,16995.680807
28.471926,40,17011.580651
29.360815,40,17026.97563
29.360815,40,17043.936708
28.471926,40,17060.499684
29.360815,40,17078.273322
29.360815,40,17096.121951
26.694148,40,17114.427483
27.583037,40,17132.434968
27.583037,40,17148.975651
26.694148,40,17166.088096
28.471926,40,17181.360548
27.827481,40,17196.916575
29.360815,40,17215.138623
26.694148,40,17230.671644
29.360815,40,17246.189563
29.360815,40,17261.474624
29.027481,40,17276.951161
29.049704,40,17293.5627
26.694148,40,17310.441579
29.360815,40,17325.73755
26.694148,40,17341.084107
27.583037,40,17356.624732
29.360815,40,17373.863962
26.694148,40,17389.43423
27.583037,40,17405.331317
27.049703,40,17421.957496
29.360815,40,17438.005014
26.694148,40,17453.315574
26.694148,40,17470.039793
26.694148,40,17485.786264
29.360815,40,17500.721579
27.494148,40,17516.093469
28.183037,40,17531.081594
29.360815,40,17546.183402
26.894148,40,17561.460368
29.360815,40,17576.512519
29.360815,40,17591.512879
26.694148,40,17606.383543
26.694148,40,17621.881154
26.694148,40,17639.299364
29.360815,40,17656.156278
28.471926,40,17672.412105
27.11637,40,17688.982817
27.583037,40,17704.30627
26.694148,40,17719.308506
27.583037,40,17734.559595
29.360815,40,17749.665026
28.583037,40,17764.677821
29.027481,40,17779.825867
27.294148,40,17797.228681
26.694148,40,17813.211993
29.360815,40,17828.70456
26.694148,40,17843.527021
26.694148,40,17858.324446
27.583037,40,17873.504236
26.694148,40,17888.564368
26.694148,40,17903.934397
27.583037,40,17918.780216
28.471926,40,17933.812706
27.583037,40,17948.789868
28.471926,40,17963.786738
27.583037,40,17978.705199
29.360815,40,17993.591781
29.360815,40,18008.297497
29.360815,40,18023.325595
28.471926,40,18038.104455
29.360815,40,18052.9415
29.360815,40,18067.964002
29.360815,40,18082.771221
27.227481,40,18097.418991
26.983013,40,18112.213196
27.583037,40,18126.924289
29.360815,40,18142.009344
28.471926,40,18156.831282
28.049704,40,18173.100079
27.583037,40,18192.619577
26.694148,40,18208.107158
28.71637,40,18222.976534
26.694148,40,18237.878335
28.938592,40,18252.677552
26.694148,40,18267.439274
26.694148,40,18282.230668
29.094148,40,18296.858102
26.694148,40,18311.714113
28.71637,40,18326.533346
28.71637,40,18341.206359
29.360815,40,18356.258757
26.694148,40,18371.156202
26.694148,40,18386.080509
28.805259,40,18400.97359
29.360815,40,18415.648587
28.805259,40,18430.385465
26.827481,40,18446.063779
28.471926,40,18461.843616
29.360815,40,18477.588651
28.916347,40,18492.885531
29.360815,40,18508.333472
27.894148,40,18524.129505
29.027481,40,18539.630563
29.360815,40,18555.117859
29.360815,40,18570.425915
29.360815,40,18585.918453
29.360815,40,18601.503678
26.694148,40,18617.115652
26.983036,40,18632.572375
29.360815,40,18648.098855
29.360815,40,18663.558506
27.071926,40,18678.788156
26.694148,40,18693.683249
28.51637,40,18708.593518
29.360815,40,18723.420092
29.360815,40,18738.527451
29.360815,40,18753.469847
29.360815,40,18768.161543
29.094148,40,18782.978186
29.360815,40,18797.821566
27.227477,40,18812.76697
26.894125,40,18827.968442
27.227481,40,18843.009357
27.494148,40,18857.887799
28.405259,40,18872.863287
26.694148,40,18887.576144
29.360815,40,18902.448998
29.205259,40,18917.23644
28.849704,40,18932.045498
29.360815,40,18946.708199
26.960815,40,18961.376442
29.138592,40,18976.141097
29.360815,40,18990.994129
27.583037,40,19005.945792
28.494148,40,19020.71142
28.471926,40,19035.45448
26.694148,40,19050.171134
26.849567,40,19064.794287
29.360815,40,19079.58125
28.471926,40,19094.23003
29.360815,40,19109.037221
26.871926,40,19124.039615
26.694148,40,19138.655497
28.471926,40,19153.396904
29.360815,40,19168.178679
29.360815,40,19183.032507
27.160815,40,19197.707321
29.360815,40,19212.504385
28.471926,40,19227.325056
29.071925,40,19241.996232
29.005259,40,19256.771448
29.360815,40,19271.774655
26.694148,40,19286.731082
28.471926,40,19301.632099
26.694148,40,19316.493538
28.471926,40,19331.221272
28.671926,40,19346.132933
29.360815,40,19360.831436
26.694148,40,19375.819702
27.583037,40,19390.703599
28.605259,40,19405.481692
29.027481,40,19420.320639
27.583037,40,19435.420718
27.583037,40,19450.280189
29.360815,40,19465.183051
28.471926,40,19480.02708
26.694148,40,19494.920263
