#{"t_start": 1765321769.970655, "env_id": "highway-v0"}
r,l,t
19.109722,24,26.534047
13.14852,19,41.322563
9.05924,11,50.082253
18.101064,23,66.88896
3.199064,5,70.324682
9.977275,13,80.457067
17.341257,24,96.114228
30.890216,40,121.685542
9.35459,12,129.335634
19.200486,27,146.864244
5.438825,7,151.304786
11.446787,15,160.964966
30.724089,40,187.292128
2.888305,4,189.819937
11.639185,13,198.177722
11.705852,14,207.243906
3.462459,5,210.494853
13.013115,16,220.771721
5.131454,7,225.214434
5.753185,7,229.769603
14.597722,19,241.828338
9.265302,13,250.205196
6.5325,9,256.013038
30.436441,40,281.68102
4.020723,6,285.520312
15.92997,23,300.20786
4.132823,5,303.392287
7.798816,11,310.620031
3.594426,5,313.812315
12.951744,16,324.171096
13.94507,19,336.514943
1.884432,3,338.380608
30.609844,40,364.245474
17.614406,23,378.949627
9.594153,13,387.501864
17.292661,23,402.294834
4.560058,6,406.145007
5.259256,7,410.643171
11.52761,13,418.950116
17.689811,25,435.029929
22.504031,29,453.682318
13.327528,19,466.025413
14.837703,17,477.024776
1.685641,3,478.941965
5.838066,7,483.437058
16.288195,22,497.635291
2.960012,5,500.849568
27.576517,40,526.844919
11.441125,13,535.209288
29.442866,40,560.832119
29.987374,40,586.624427
30.62469,40,612.402174
27.602398,38,636.888141
29.425954,40,662.412031
32.276271,40,688.514705
13.10639,18,700.101246
8.287535,11,707.086534
13.197854,16,717.308567
4.528744,6,721.284887
19.1333,24,736.679319
9.02688,12,744.470138
7.595475,9,750.273287
9.951653,14,759.471541
17.102133,22,773.60696
8.815486,12,781.306731
3.598399,5,784.534484
13.150694,16,794.797835
2.685933,4,797.317637
29.375109,40,822.945122
22.472227,27,840.305296
34.00818,40,866.290524
32.578887,39,891.284614
25.282767,34,913.890175
9.066473,12,921.860372
29.092644,40,947.450342
7.216391,9,953.192329
27.926612,36,976.225499
23.036563,30,995.575482
19.567739,26,1012.47799
24.505542,32,1033.023605
1.951099,3,1034.93759
1.888326,3,1036.837672
28.556999,40,1062.62765
7.977517,11,1069.671954
29.353793,40,1095.518606
