#{"t_start": 1764446960.075447, "env_id": "highway-v0"}
r,l,t
13.274833,15,1.404242
21.889533,25,2.822339
17.744238,20,3.968946
24.073252,27,5.511035
8.220567,12,6.198287
32.668308,45,8.732149
26.012519,33,10.592568
15.545063,20,11.745186
64.309677,80,16.35351
4.575272,6,16.708366
4.519834,6,17.061286
22.394149,29,18.73984
20.513762,28,20.384168
29.790746,38,22.593535
5.019722,7,23.013091
26.847174,34,25.020595
10.786628,14,25.844628
4.593555,6,26.215119
18.341178,21,27.458331
19.783899,24,28.89058
29.062823,36,31.027779
16.342213,22,32.338776
5.21275,7,32.758862
15.448696,22,34.061982
40.52482,52,37.115196
4.418394,6,37.478827
6.669587,8,37.962378
42.473765,49,40.85367
4.046158,5,41.161325
11.900699,15,42.064821
17.656274,22,43.37718
8.849505,11,44.057261
6.164426,8,44.527476
10.09943,14,45.368528
28.261198,37,47.55876
18.928408,25,49.057181
6.798285,9,49.600436
10.809682,13,50.392938
30.192347,37,52.60697
