#{"t_start": 1765398208.86359, "env_id": "highway-v0"}
r,l,t
8.145031,10,1.23583
4.455742,6,1.369583
13.898137,16,1.73858
28.031122,34,3.064229
38.135032,48,4.511148
10.835019,15,4.85336
12.975697,16,5.217008
13.86541,18,5.638689
40.819383,52,6.857671
20.099796,25,7.416881
18.877942,27,8.025781
7.114257,9,8.229832
25.560617,32,8.984784
58.22389,69,10.560129
4.854047,6,10.69875
21.317559,28,11.325836
10.622828,14,11.658436
37.204469,44,12.671884
20.28552,25,13.237161
18.715933,23,13.746256
20.381884,26,14.637351
25.846758,31,15.849341
14.432347,19,16.412736
8.949423,12,16.676476
9.452596,11,16.923357
40.167561,49,18.035804
24.094453,31,18.748259
8.296998,11,18.998546
4.311257,6,19.148876
18.74047,27,19.80076
15.57832,20,20.271557
5.739663,7,20.442763
15.581125,19,20.884874
23.363191,32,21.621288
17.658408,24,22.164494
6.527637,9,22.395784
16.31277,20,22.828792
18.014988,24,23.366839
34.768064,41,24.302485
7.533369,11,24.553846
12.729605,16,24.919019
3.491561,5,25.03625
33.46505,45,26.056751
4.557073,6,26.278464
5.84605,7,27.320297
7.07975,9,27.704695
13.795556,19,28.309374
9.658089,11,28.551264
10.54721,14,28.876778
31.786162,41,29.842298
14.299129,20,30.291631
39.500994,56,31.577532
6.439847,9,31.802083
18.176724,26,32.392594
11.764164,15,32.725383
12.345903,17,33.121413
64.050878,80,34.991737
11.562812,14,35.312224
12.964362,15,35.645878
28.142235,35,36.461302
12.90506,17,36.848345
20.380348,27,37.47737
28.430374,36,38.419284
53.906159,67,40.74404
64.121761,80,42.626097
53.807205,67,44.102499
7.869309,11,44.358676
3.949325,5,44.473707
42.361306,50,45.630152
63.661277,80,47.451328
5.875449,8,47.639261
28.015024,37,48.490978
10.690587,12,48.769099
6.613176,8,48.946449
44.814566,55,50.267476
10.893411,14,50.800201
3.506278,5,50.998621
65.022781,80,53.899017
23.94996,33,54.670982
19.202795,26,55.253829
6.945993,9,55.470344
30.815432,37,56.309297
7.726727,9,56.512262
30.460683,35,57.296709
60.330626,80,59.143154
27.471169,34,59.935769
22.190376,28,60.565068
11.514375,16,60.934441
22.900488,32,61.684255
20.676047,25,62.286356
10.739904,15,62.714288
10.32211,13,63.225625
40.92961,52,65.00504
35.467158,47,66.04725
2.96032,4,66.142158
4.092453,5,66.257703
5.847267,9,66.46326
21.472981,28,67.137756
25.674738,33,67.870481
35.70998,45,68.899295
8.524185,11,69.168415
5.623322,8,69.350095
25.166724,32,70.09618
49.136832,67,71.640301
4.843532,6,71.773271
9.060984,13,72.054832
3.462033,5,72.168739
11.395808,15,72.51644
9.591293,13,72.809112
29.27384,38,73.680191
29.35538,38,74.529496
20.481918,23,75.328103
6.186867,9,75.683285
9.112123,11,76.083401
9.610899,13,76.580199
43.724957,55,77.93398
61.051655,80,80.242318
26.517629,32,80.983428
8.182107,12,81.252612
58.702965,80,83.038043
10.032893,13,83.332819
17.593613,23,83.86166
27.049103,37,84.719133
16.482592,20,85.17239
24.390309,32,85.896807
24.638493,30,86.557181
62.299959,80,89.27774
19.986734,22,89.774899
15.981355,22,90.290702
33.407259,44,91.304104
20.589586,28,91.932469
60.432078,80,93.731921
31.952412,43,94.689857
17.168083,22,95.178343
61.607051,80,97.043433
25.628401,34,97.819689
3.720975,5,97.93318
57.17663,80,100.363572
18.237025,22,101.225366
36.928727,45,102.242135
16.790633,23,102.781926
7.69941,10,103.010103
61.841686,78,105.202904
39.53384,48,106.396154
23.110965,28,107.034391
13.633066,17,107.420451
13.297019,17,107.819262
27.1346,34,108.601349
19.026068,26,109.17638
14.203291,18,109.571673
4.743964,6,109.730906
29.927012,37,110.59494
24.70051,34,111.548568
7.971888,10,111.945227
62.426849,80,114.441237
15.11605,20,114.905867
62.210549,80,116.716787
26.043476,34,117.490947
3.424814,5,117.607908
23.451663,30,118.277023
34.048244,47,119.34133
60.444329,80,121.166768
61.97413,80,123.116164
6.929003,9,123.331935
8.237609,11,123.711818
18.525574,26,124.711415
46.381617,61,126.505893
30.151934,36,127.354045
55.87703,70,129.021276
7.342903,11,129.299377
14.44359,17,129.690255
35.826378,48,131.244071
10.676959,13,131.546378
58.745514,80,133.345663
35.895654,47,134.450418
61.749404,80,136.846033
11.601455,16,137.481773
10.331416,13,137.936024
17.952396,24,138.465301
6.412127,8,138.651807
20.937772,28,139.330124
58.988284,80,141.20574
60.351787,80,143.126056
17.931874,23,143.631068
56.643966,74,145.316531
7.82962,10,145.53988
21.873626,29,146.203197
10.373513,13,146.490628
5.318841,7,146.64716
5.979524,8,146.830056
18.591004,25,147.403738
49.570864,69,149.907663
42.34085,55,151.221759
50.32984,62,152.678515
21.812385,30,153.352627
25.221258,33,154.099557
10.86083,15,154.4614
16.729064,22,154.955763
5.232209,8,155.154751
59.94881,80,157.396282
48.68048,65,158.919016
16.844606,21,159.426808
16.454808,23,159.959441
10.58354,13,160.456036
17.310881,24,161.350432
59.611251,80,163.536191
7.248172,10,163.782023
27.820452,35,164.553126
60.475583,80,166.385137
16.273087,21,166.880979
57.957277,80,168.67684
19.685705,27,169.327767
62.279337,80,171.170853
2.877668,4,171.265646
30.204749,38,172.124037
58.108808,80,174.778621
3.850759,5,174.893585
3.791728,5,175.006731
59.539437,80,176.77789
18.299103,25,177.383005
23.59389,31,178.052619
12.51652,15,178.402352
59.255903,80,180.214277
9.406675,14,180.551131
3.298776,5,180.671963
62.928459,80,183.009501
7.466425,11,183.265372
57.896934,80,185.603426
50.772801,68,187.711758
56.782996,80,189.615792
59.242502,80,191.456678
58.779216,79,193.299581
12.852516,19,193.71469
16.406356,23,194.242446
7.622895,11,194.493956
58.496533,80,196.309766
61.102446,80,199.131042
58.100423,80,200.881977
58.607196,80,202.676617
57.756515,80,204.487308
59.072222,80,206.30506
4.395124,6,206.452761
58.217121,80,208.751017
58.116625,80,211.476168
58.604087,80,213.303985
19.365904,28,213.949544
58.030664,80,215.794391
58.674283,80,217.617983
56.117162,80,219.449563
58.704586,80,221.531168
56.9992,80,224.030936
23.341572,34,224.803662
56.913378,80,226.61856
59.743515,80,228.429546
58.060827,80,230.1624
56.876782,77,231.851602
58.333903,80,234.560868
59.306034,80,236.754876
60.915236,80,238.600181
34.592678,47,239.681183
58.222895,80,241.525029
62.187366,80,243.351102
59.652726,80,245.156237
58.507714,80,247.976363
58.073549,79,249.806207
60.573389,80,251.710921
11.408958,15,252.053333
38.766272,52,253.269155
57.937035,80,255.011564
8.675648,13,255.326025
59.614634,80,257.097773
59.188252,80,259.837476
60.257842,80,262.228612
37.154606,50,263.386893
8.50012,11,263.651149
61.064532,80,265.414477
57.971677,80,267.25578
59.2017,80,269.195823
25.861658,35,270.202194
60.904194,80,272.751086
20.267575,27,273.380017
20.735259,28,274.040872
59.712147,80,275.845893
4.543465,7,276.016014
59.571545,80,277.830701
61.652424,80,279.615447
57.150496,77,281.370859
59.963687,80,284.124903
