#{"t_start": 1765394658.4073045, "env_id": "highway-v0"}
r,l,t
19.217003,27,11.462915
20.749942,29,12.276109
3.463269,5,12.416521
23.418854,26,13.027775
13.037589,17,13.399426
16.967419,24,13.993777
8.623119,12,14.266328
51.186132,68,15.818733
48.436034,60,17.28547
4.457439,6,17.431897
4.697225,6,17.572615
8.829252,13,17.911985
30.793442,40,18.81391
4.732793,6,18.950013
38.602472,50,20.136353
7.069306,9,20.352174
31.466871,41,21.417157
10.18989,12,21.715859
12.822049,15,22.271713
54.708525,66,24.614183
9.458051,11,24.905624
60.097793,80,26.784385
9.712746,11,27.079584
20.789258,27,27.678755
33.014597,42,28.680007
11.382589,14,29.006787
9.984226,13,29.334495
5.43381,7,29.518037
16.620722,22,30.008389
3.641588,5,30.145696
10.225411,13,30.440733
5.414603,7,30.600555
51.12279,62,32.203058
19.214193,25,32.798415
6.375332,8,32.972719
31.429109,44,34.003494
27.16867,29,35.262179
39.06204,55,37.043148
28.303493,34,38.806945
4.051633,5,38.917315
25.561504,33,39.688383
6.208969,8,39.865278
8.952675,11,40.112283
6.338912,8,40.296352
28.036937,34,41.107631
17.012137,25,41.730378
14.524644,20,42.18593
10.212259,12,42.462237
33.041387,46,43.558079
3.415427,5,43.694761
15.317293,19,44.126096
30.673434,41,45.08247
11.082196,15,45.425422
7.491215,9,45.638959
16.923281,23,46.180739
30.654739,44,47.843308
29.074791,39,49.050089
13.833742,18,49.468638
16.309137,21,49.984987
21.082107,28,50.647561
4.738021,6,50.780896
26.157894,36,51.589803
58.378858,80,53.515369
8.711176,11,53.784972
24.212843,31,54.556044
9.068071,12,54.83361
18.254826,23,55.403108
4.578019,6,55.534642
11.027917,13,55.850033
57.440045,73,57.651653
56.137056,75,59.992685
4.461877,6,60.227353
17.470002,21,60.937376
14.645223,20,61.375166
21.424254,28,62.01723
21.757723,28,62.64918
9.51364,12,62.924907
17.784593,22,63.485235
4.997484,6,63.639026
57.644883,80,66.590694
9.237958,13,66.9186
57.76113,80,69.129609
50.336945,67,70.697023
47.731846,62,73.154487
4.880774,6,73.290024
58.741225,80,75.118561
45.984312,63,76.613283
56.919512,80,78.512698
42.889636,54,79.772305
11.788676,14,80.094675
5.038357,7,80.268069
5.705665,8,80.459751
24.674022,32,81.196913
16.751671,20,81.705151
50.066804,68,83.673183
3.460201,5,83.880975
13.362868,16,84.530853
57.063433,80,86.615899
8.893252,12,86.881169
4.539506,6,87.021568
8.763054,12,87.300949
15.135029,20,87.804834
13.832114,18,88.218341
34.725306,46,89.311501
59.175646,80,91.247643
62.843113,80,93.810176
27.43257,38,94.676203
11.12125,15,95.03093
8.778132,12,95.434115
52.647681,73,97.900091
56.800938,80,99.637384
7.142076,9,99.835662
57.023898,80,101.778435
7.209978,9,101.980927
2.886322,4,102.082053
30.422865,40,103.026522
60.626127,80,105.036831
50.684835,70,106.752715
29.421789,41,107.942558
34.300094,49,109.688465
10.311572,14,110.00568
57.486564,80,111.884875
21.431496,29,112.553346
8.321835,11,112.827314
10.607267,13,113.114601
5.469239,8,113.307078
40.361613,57,114.587347
3.425149,5,114.700052
15.242986,20,115.170324
60.383221,80,117.215752
57.294331,80,119.462045
55.287953,80,122.308953
55.523117,80,124.162758
32.35838,44,125.149401
16.130274,23,125.699734
3.784966,5,125.816233
55.819699,80,127.65951
57.243254,80,129.482097
56.969347,80,131.345784
14.898661,22,131.982918
3.929758,6,132.220192
8.787633,13,132.795006
57.376394,80,135.315001
8.936749,12,135.573311
55.71429,80,137.517974
59.324562,80,139.482964
60.482126,80,141.378045
15.938385,22,141.863491
18.143597,24,142.46572
59.399406,80,144.729408
12.425625,18,145.393329
27.831104,35,147.002879
7.393198,11,147.282849
59.010179,80,149.171059
57.849362,80,151.155258
34.678775,51,152.334608
54.931163,80,154.24693
57.518832,80,156.191055
55.583117,80,159.083555
56.364585,80,160.920835
59.649491,79,162.838209
47.495444,68,164.488124
58.516513,80,166.417137
55.949669,80,168.244793
3.888691,5,168.364247
55.245252,80,171.247984
29.593882,44,172.219287
56.14577,80,174.463295
57.184232,80,176.343815
47.480176,66,177.921487
54.703625,80,179.780841
55.97475,80,182.151582
55.520294,80,184.403612
