#{"t_start": 1765366025.5838444, "env_id": "intersection-v0"}
r,l,t
10.0,10,35525.865107
-0.57992,5,35526.053718
9.0,9,35526.394485
0.0,6,35526.672888
9.0,9,35526.923405
9.0,9,35527.208435
9.0,9,35527.552273
-1.0,5,35527.728127
10.0,10,35527.942508
0.0,6,35528.233743
-1.0,5,35528.46717
1.0,7,35528.789333
-1.299552,4,35528.941003
1.0,7,35529.200914
0.0,5,35529.358542
9.0,9,35529.670099
9.0,9,35529.896451
-1.0,5,35530.054271
9.0,9,35530.389061
-1.0,5,35530.560816
0.0,5,35530.738615
0.700013,6,35530.962434
0.0,6,35531.178833
9.0,9,35531.419262
-1.0,5,35531.64146
8.0,8,35531.89027
1.0,6,35532.05455
9.0,9,35532.423395
-0.57992,5,35532.63878
9.0,9,35532.900429
9.0,9,35533.294958
-1.0,4,35533.447378
1.0,7,35533.700446
9.0,9,35534.056291
-5.0,1,35534.142643
-1.0,5,35534.364933
9.0,9,35534.636928
10.0,10,35534.919385
9.0,9,35535.28407
-0.57992,5,35535.469373
9.0,9,35535.925802
0.0,6,35536.233322
-1.0,5,35536.473432
0.0,6,35536.620586
0.0,6,35536.91462
10.0,10,35537.425253
9.0,9,35537.765805
9.0,9,35538.334266
9.0,9,35538.740633
8.0,8,35539.275753
9.0,9,35540.309517
-1.299552,4,35540.849046
-0.299923,5,35541.756982
9.0,9,35542.870576
10.0,10,35544.087509
10.0,10,35544.784153
10.0,10,35545.266822
0.0,6,35545.537727
9.0,9,35545.890831
-1.0,5,35546.108562
-1.0,5,35546.325674
10.0,10,35546.81989
-0.299923,5,35547.111559
9.0,9,35547.517708
0.0,6,35547.76873
9.0,9,35548.26216
9.0,9,35548.762857
9.0,9,35549.097644
9.0,9,35549.525871
9.0,9,35549.803764
0.0,5,35550.058949
0.0,6,35550.372494
9.0,9,35550.645294
0.0,6,35550.949669
10.0,10,35551.424067
-1.299552,4,35551.571472
8.0,8,35551.836345
0.0,6,35552.030597
9.0,9,35552.327697
10.0,10,35552.782862
9.0,9,35553.264767
9.0,9,35553.697294
9.0,9,35554.021747
10.0,10,35554.370759
9.0,9,35554.698097
8.0,8,35555.019347
-1.0,5,35555.214874
9.0,9,35555.43352
1.0,7,35555.674371
10.0,10,35556.134276
9.0,9,35556.34795
9.0,9,35556.650613
-0.299923,5,35556.794585
9.0,9,35557.10354
9.0,9,35557.527663
9.0,9,35557.814355
-0.841249,5,35558.002775
9.0,9,35558.280169
-1.0,5,35558.463456
1.0,7,35558.708902
0.0,6,35558.996274
10.0,10,35559.537377
9.0,9,35559.82003
0.0,6,35560.040892
-1.0,5,35560.246184
-1.0,5,35560.458616
-5.0,1,35560.568174
-0.841249,5,35560.761324
-0.57992,5,35560.972009
9.0,9,35561.220589
-2.0,4,35561.399134
9.0,9,35561.69552
8.0,8,35562.000355
-2.0,4,35562.207767
2.0,8,35562.501056
0.0,6,35562.728516
9.0,9,35563.041828
10.0,10,35563.437849
10.0,10,35563.760603
10.0,10,35564.093777
-1.0,5,35564.284067
-1.0,5,35564.482538
10.0,10,35564.937534
9.0,9,35565.332502
0.0,5,35565.517692
-2.0,4,35565.728989
0.0,6,35565.924028
-0.299923,5,35566.186904
10.0,10,35566.549607
10.0,10,35566.897627
9.0,9,35567.1397
0.0,6,35567.424143
10.0,10,35567.72135
0.0,6,35567.989508
-1.0,5,35568.14448
11.0,11,35568.553346
0.0,5,35568.731936
9.0,9,35569.024079
-1.0,4,35569.202959
0.0,5,35569.417328
0.0,6,35569.632363
0.0,6,35569.944593
