#{"t_start": 1765366022.857922, "env_id": "intersection-v0"}
r,l,t
3.012676,13,5.103747
-1.372771,6,5.588777
-2.0,8,6.210861
0.0,13,7.253217
4.525103,13,8.275442
-1.690719,7,8.819154
-2.365057,6,9.210462
0.613591,13,10.28177
2.23151,13,11.420157
2.472861,13,12.411169
2.20457,13,13.44137
1.0,13,14.331796
4.552044,13,15.358467
-1.0,5,15.757973
0.613583,13,16.912693
-2.449806,8,17.564932
2.613583,13,18.478811
6.617508,12,19.569849
2.471361,13,20.541692
7.616072,10,21.32099
0.559173,13,22.344503
-2.384543,10,23.099534
-1.542056,10,23.799695
-3.526753,10,24.547944
-1.871564,8,25.169877
9.633112,11,25.989082
4.949147,13,26.95069
1.0,13,27.871861
0.0,13,28.762266
8.0,9,29.493368
2.681634,13,30.420074
0.0,13,31.466543
-4.304191,10,32.224062
-2.458619,7,32.830904
-2.436558,6,33.266914
-2.304905,9,34.050633
-2.0,4,34.322891
0.0,13,35.37436
8.633113,10,36.046323
6.0,13,37.088171
-3.0,5,37.424998
4.617932,13,38.408996
-2.444964,6,38.810104
-1.0,5,39.204216
-2.386033,9,39.994436
0.0,6,40.491786
-2.027004,6,41.026606
7.473377,11,41.932137
7.472952,11,42.801384
0.604273,13,43.976504
5.254533,12,63.530124
2.78702,13,64.584093
-3.395341,10,65.437547
0.0,13,66.545356
6.287693,12,67.949508
-2.806367,11,68.989692
4.181064,13,70.085155
6.206374,13,71.249502
7.242743,10,72.046289
0.0,5,72.513546
1.54788,13,73.627665
0.629225,13,74.600176
0.0,13,75.526235
-0.31878,7,76.033498
2.841434,13,76.936337
-2.540229,12,77.928879
8.300598,11,78.804296
-2.0,6,79.322176
-1.373258,7,79.928233
3.523181,13,80.927321
5.52708,13,81.892766
1.0,13,82.958854
-1.299552,4,83.334422
-2.0,4,83.612949
5.538722,13,84.67201
0.0,5,85.140645
-1.0,5,85.554927
0.0,13,86.646144
9.0,10,87.428873
10.0,10,88.156284
-4.370775,12,89.120011
-1.0,6,89.563079
7.0,11,90.367115
0.606137,13,91.48726
1.552541,13,92.409194
5.254533,12,93.428274
-2.0,5,93.792154
-2.815394,6,94.32161
-1.299552,4,94.716606
-1.318719,6,95.261333
2.472876,13,96.452957
7.18082,11,97.626473
-2.0,5,98.038125
-2.438646,8,98.728619
-0.299923,5,99.20791
-2.754779,7,99.740529
-3.0,6,100.199297
6.193693,10,101.065855
-1.684108,7,101.671382
-2.365057,6,102.150838
5.541505,13,103.102314
6.154464,12,104.012558
7.0,10,104.818884
-0.57992,5,123.167883
-2.288439,6,123.675008
-1.0,6,124.212835
3.0,13,125.499828
3.536967,13,126.718482
-2.0,3,126.99008
-1.318719,6,127.502206
-1.379585,6,128.066147
1.617493,13,129.070015
-2.0,4,129.420177
-1.372771,6,129.943658
3.459713,13,130.938097
-2.0,8,131.444846
-3.0,5,131.825825
5.233851,11,132.657639
-1.539823,9,133.328474
2.961436,13,134.289661
3.0,13,135.212946
1.0,7,135.845238
7.089816,13,136.92706
5.457495,13,138.011766
8.62673,10,138.91518
-1.224867,6,139.393029
5.151832,13,140.392079
6.141076,13,141.267998
-2.524494,8,141.929034
-1.436972,7,142.479288
-2.0,6,143.009151
7.0,13,144.199861
0.700013,6,144.789717
1.0,13,145.893024
5.0,12,146.889773
-0.299923,5,147.27764
-1.646455,7,147.829052
-2.0,6,148.370934
4.459781,13,149.41119
-2.028562,6,149.822064
0.0,6,150.261747
6.457087,13,151.352156
-4.304191,10,152.140223
-2.756723,7,152.696242
-3.449736,7,153.229944
-4.450158,11,154.157119
-3.0,5,154.563989
3.613594,13,155.543094
-0.299923,5,155.968752
-2.318366,6,156.614688
6.173083,12,157.797548
-4.0,9,158.573124
8.617423,10,159.299142
-1.0,6,159.80862
-2.365057,5,160.219651
-2.824831,8,160.855034
3.550133,13,161.922713
-2.436558,6,162.398404
7.61852,9,163.217184
1.643827,13,164.352001
8.0,8,164.989848
-2.370348,5,183.548321
-2.0,4,183.857239
0.0,6,184.351384
-1.372771,6,184.851573
1.563015,13,185.917081
7.61852,13,187.200302
-1.666651,5,187.692967
4.174664,13,188.680231
8.615844,10,189.571715
0.560705,13,190.63709
1.0,7,191.153894
-0.539882,12,192.05895
8.314321,11,192.736885
2.308854,13,193.820482
-1.446814,7,194.316677
9.0,9,194.988925
9.0,9,195.798188
2.681634,13,196.843132
-2.436558,6,197.330328
2.536659,13,198.454403
9.240728,12,199.480999
-0.381164,7,199.990623
6.041439,12,200.980147
1.552044,10,201.792306
8.618513,11,202.976751
-4.0,8,203.678671
2.158667,8,204.280469
8.681208,10,205.07382
-4.382153,6,205.572779
7.457483,13,206.563117
7.552807,10,207.430388
-2.0,4,207.733191
6.473325,10,208.681994
-1.318719,6,209.212682
3.0,13,210.35299
-2.318366,5,210.759978
9.0,10,211.649869
9.0,9,212.273164
-1.0,5,212.664964
-1.646455,7,213.12913
-2.318366,6,213.589117
9.0,9,214.193728
-2.437045,7,214.847992
6.231144,10,215.638463
-1.0,5,216.099069
-2.0,6,216.766962
-2.450203,12,217.686591
6.23198,10,218.404774
-1.0,5,218.821342
7.250792,10,219.675689
1.0,7,220.309484
0.0,6,220.769698
5.860373,12,221.761297
0.0,6,222.456012
5.617508,13,223.388476
8.615844,10,224.191123
-2.0,4,224.534362
7.23142,11,225.546602
10.0,10,244.357037
-1.0,5,244.817303
0.695809,13,245.85468
6.45749,13,247.034433
4.0,13,248.100234
9.0,9,248.999126
0.0,13,250.000211
7.1018,12,250.906046
-0.748416,7,251.488174
-2.444964,6,251.908959
10.0,10,252.689733
9.0,9,253.457525
-1.372771,5,253.807401
9.0,10,254.704138
6.52517,13,255.741086
-3.0,4,256.092868
-2.436558,6,256.647278
5.0,13,257.747397
5.0,13,258.867764
5.486392,13,259.920973
9.0,9,260.729654
