#{"t_start": 1765355607.9133892, "env_id": "intersection-v0"}
r,l,t
0.0,6,10218.191364
7.45748,13,10218.591707
5.457864,13,10218.935445
-1.449821,10,10219.283265
10.0,10,10219.632787
8.617423,10,10219.814376
9.0,9,10220.075307
9.0,9,10220.420376
-1.524827,10,10220.769238
-2.373197,5,10221.013602
8.615844,10,10221.327181
3.472874,13,10221.772341
8.0,8,10222.126494
1.0,13,10222.671728
-2.0,6,10222.89248
10.0,10,10223.172729
8.0,8,10223.428836
0.0,6,10223.658946
0.700013,6,10223.84731
3.0,13,10224.329472
10.0,10,10224.65539
0.0,6,10224.860825
-0.841249,5,10225.012884
10.0,10,10225.195125
8.615844,10,10225.456558
10.0,10,10225.678768
2.0,13,10226.090396
9.0,9,10226.364651
9.0,9,10226.546379
-2.0,4,10226.745818
-1.0,5,10226.861691
-1.84084,4,10227.007748
-1.0,5,10227.137167
11.0,11,10227.418573
7.45748,13,10227.855045
7.615917,9,10228.107832
8.459729,13,10228.453445
0.0,6,10228.669278
-1.0,5,10228.914536
0.0,7,10229.11497
9.0,9,10229.398525
6.534085,13,10229.8264
8.549876,11,10230.091952
8.0,8,10230.34615
0.0,6,10230.531801
6.536747,11,10230.91908
-1.379585,6,10231.107551
9.0,9,10231.294759
9.0,9,10231.517014
3.0,13,10232.02758
-2.0,4,10232.169151
10.0,10,10232.417449
-1.318719,6,10232.497107
0.0,6,10232.693925
-0.373185,7,10232.980158
9.0,9,10233.139831
-1.0,6,10233.281809
9.0,9,10233.480037
10.0,10,10233.700318
-0.841249,5,10233.845123
6.459792,13,10234.557747
9.0,9,10234.754553
0.0,6,10234.888861
7.472952,11,10235.150531
9.0,9,10235.42724
4.457085,13,10236.013833
10.0,10,10236.237871
-1.450139,11,10236.634362
9.0,9,10236.811743
1.0,13,10237.17938
7.615917,9,10237.475391
7.457546,13,10237.928894
9.0,9,10238.167957
0.0,6,10238.300342
-2.450139,10,10238.638207
8.459729,13,10239.003152
-0.299923,5,10239.123639
8.616025,10,10239.436305
10.0,10,10239.783111
8.616025,10,10240.110503
9.0,9,10240.295041
2.604273,13,10240.775378
1.617435,9,10241.012494
8.615645,10,10241.153486
9.0,9,10241.451401
9.0,9,10241.761109
1.0,13,10242.190622
-2.318366,5,10242.371778
-0.841249,5,10242.52813
0.420014,6,10242.682875
-1.0,5,10242.794996
10.0,10,10242.980301
-1.958347,5,10243.108866
0.0,6,10243.274801
0.0,6,10243.508857
5.53402,13,10243.791815
1.0,7,10243.952843
1.0,7,10244.1319
-0.841249,5,10244.264961
9.0,9,10244.521379
0.0,5,10244.691756
4.459716,13,10245.113015
0.0,6,10245.334047
9.0,9,10245.608377
-1.0,5,10245.742882
-0.57992,5,10245.851742
-2.527137,12,10246.263124
-0.841249,5,10246.440819
0.0,6,10246.630902
9.0,9,10246.863202
8.0,8,10247.048328
7.471021,12,10247.339043
0.0,6,10247.462815
-1.0,5,10247.636781
9.0,9,10247.9557
-3.700395,6,10248.172154
3.472861,13,10248.468587
-2.0,4,10248.57195
-1.39348,9,10248.781626
0.0,6,10248.974999
-5.0,1,10249.080279
-5.0,1,10249.150854
9.0,9,10249.392591
9.0,9,10249.567424
-5.0,1,10249.621788
2.0,13,10250.033417
8.0,8,10250.245353
-1.318719,6,10250.338935
-1.0,5,10250.480745
8.618513,10,10250.82487
9.0,9,10251.167041
9.0,9,10251.403067
9.0,9,10251.591775
10.0,10,10251.821045
2.472861,13,10252.449551
-1.372771,6,10252.588628
9.0,9,10252.806572
-0.634719,6,10252.926372
-2.449821,9,10253.149853
6.088037,13,10253.622416
-2.382567,7,10253.837815
10.0,10,10254.103724
0.0,6,10254.333528
3.0,13,10254.919534
0.0,6,10255.081194
-2.527126,11,10255.432791
9.0,9,10255.670973
4.459725,13,10256.066412
0.0,6,10256.224231
-2.055628,9,10256.501859
10.0,10,10256.802599
9.0,9,10257.165545
10.0,10,10257.412287
-0.31878,7,10257.623775
9.0,9,10257.829612
9.0,9,10257.990786
7.459464,13,10258.225263
-5.0,1,10258.280166
9.0,9,10258.499325
3.472861,13,10258.81938
-5.0,1,10258.925237
10.0,10,10259.237191
-2.318366,5,10259.458697
9.0,9,10259.743696
-1.0,5,10259.87714
7.617435,9,10260.052646
4.470605,13,10260.448864
7.473313,11,10260.799613
3.0,13,10261.083363
0.0,6,10261.283126
-1.0,5,10261.530028
-1.0,5,10261.692742
-1.0,5,10261.839448
0.0,5,10261.952774
8.0,8,10262.176478
-1.318719,6,10262.327048
7.457546,13,10262.714855
-1.0,6,10262.916094
-1.0,5,10263.057627
-1.713154,8,10263.212107
1.0,13,10263.640676
0.0,6,10263.793985
8.615645,10,10264.056158
-3.450139,13,10264.45293
7.459464,13,10264.812979
-1.438648,9,10265.128378
0.0,6,10265.251948
-4.0,12,10265.682111
0.0,6,10265.787749
-1.0,5,10265.980038
-2.0,4,10266.123049
9.0,9,10266.314492
8.615844,10,10266.490043
-2.438646,8,10266.726614
7.617435,9,10266.890305
2.0,13,10267.342034
9.0,9,10267.50606
-1.0,5,10267.650788
7.550321,10,10267.907657
9.0,9,10268.089979
6.457097,13,10268.537117
9.0,9,10268.744234
8.615645,10,10269.045536
1.0,7,10269.239811
10.0,10,10269.498162
9.0,9,10269.685255
0.0,6,10269.926154
9.0,9,10270.115858
-1.299552,4,10270.240544
7.459795,12,10270.533117
5.45748,13,10270.986691
9.0,9,10271.222363
1.0,13,10271.67113
