#{"t_start": 1765355606.0312743, "env_id": "intersection-v0"}
r,l,t
-2.437045,7,3.69818
8.617423,10,4.603895
4.15144,13,5.739741
0.695809,13,6.784552
0.563369,13,7.87512
9.0,9,8.676341
-2.0,8,9.494688
0.695809,13,10.712155
9.615832,11,11.638632
0.0,6,12.111903
4.880977,11,13.109907
-1.366575,6,13.697971
7.469148,13,14.793601
9.0,9,15.726433
2.626803,13,17.008348
4.910895,13,18.176163
-2.370348,7,18.853611
5.68121,13,20.059537
3.537043,13,21.386589
0.617847,13,22.686431
-2.743026,7,23.472636
-2.318366,6,24.158882
6.68121,9,25.094845
6.178849,12,26.581984
4.55287,13,28.167511
-1.379585,6,28.869609
4.168997,13,30.019335
-1.447446,7,30.700711
-1.511731,8,31.401319
0.0,13,32.769589
7.259887,10,33.752482
1.0,13,35.012949
2.551658,13,36.218932
-2.0,4,36.664795
-3.393468,10,37.597215
0.613855,13,38.999124
2.626803,13,40.609084
-2.0,7,41.521146
-3.778633,13,42.736999
7.0,12,43.762836
6.633121,10,44.721766
4.023176,13,46.106143
7.552042,13,47.386371
8.552805,11,48.350217
3.140877,13,49.538926
6.24071,13,50.937076
-3.462888,10,51.925488
3.459716,13,53.178254
-2.0,5,55.143152
4.867256,12,56.377004
5.853593,13,57.586653
7.0,9,58.652766
4.167296,13,59.969902
3.0,13,61.225751
7.178487,11,62.339595
-1.379585,6,62.777306
2.549861,13,64.003311
1.0,13,65.645575
5.457415,13,67.941246
-2.0,6,68.78936
0.695809,13,71.130008
1.47511,13,72.64537
2.857007,13,73.979722
4.891417,13,75.265405
7.550321,10,76.269182
-1.0,7,76.828632
-2.370348,6,77.356778
1.0,13,78.7068
-1.0,5,79.115094
2.629652,13,80.407129
-2.110355,10,81.373304
-2.51166,7,82.0409
-1.366575,6,82.853634
7.0,13,84.673567
4.536969,13,86.162307
5.297064,11,87.198291
-3.38444,8,88.123425
-1.318719,6,88.679058
-4.394068,8,89.674946
4.626815,13,91.783471
4.475044,13,93.671396
7.297505,10,95.364017
6.562942,12,96.625902
3.261629,13,97.987336
-1.299552,4,98.552306
-3.316297,4,99.19486
0.0,13,101.004439
-1.731221,7,101.817405
-3.380137,8,102.685387
5.858192,12,104.050916
-1.0,5,104.695977
-3.384158,7,105.342307
0.0,13,106.506552
1.254914,13,107.879077
-4.448546,13,109.217632
-1.0,5,109.726475
0.0,13,111.108348
-1.436972,7,111.917459
-1.0,6,112.886814
-0.946861,6,113.759236
-1.0,6,116.110188
5.94036,10,117.090597
2.459783,13,118.173581
5.920688,11,119.213899
10.0,10,120.191537
8.616025,10,121.218206
-1.372771,6,121.841396
1.547604,13,123.254398
3.486367,13,124.499135
-1.372771,5,125.033799
3.091061,13,126.490899
-4.0,12,127.62531
9.0,9,128.488276
0.0,6,129.121627
10.0,10,130.189794
-1.0,5,130.696899
7.552807,10,131.484783
-2.51166,7,132.164241
-2.437045,7,132.840986
8.681208,10,133.739461
7.18177,11,135.038321
6.11489,13,136.344047
3.285965,13,137.425286
6.616343,12,138.734904
5.470944,13,140.186105
9.562942,12,141.679574
-1.379585,5,142.385341
-1.0,5,142.996178
-1.758885,11,144.635574
8.0,13,145.957691
1.0,10,146.965088
1.0,13,148.180118
4.457097,13,149.365361
7.681208,10,150.264091
-1.0,7,150.951003
1.472861,13,152.533174
-3.452397,12,153.964906
-0.299923,5,154.354579
7.287531,11,155.985431
6.848242,13,158.104099
6.208663,12,160.200067
3.0,13,162.448705
2.0,13,164.392515
0.629225,13,166.955193
-1.0,11,169.284426
1.0,13,171.941678
1.300129,13,174.700702
3.261629,13,177.190151
8.244119,12,183.311449
-2.0,6,184.254541
5.52517,13,187.079001
-0.675908,6,188.126618
-1.299552,4,188.942293
-1.446814,6,190.15016
8.617423,10,191.975739
7.550321,10,193.987828
1.0,13,196.300963
-1.0,6,197.474984
8.297078,11,199.585079
1.0,13,202.117716
0.0,6,203.472139
-2.0,6,204.614967
0.0,13,207.418266
1.321021,13,209.743042
2.125585,13,211.869725
-3.316297,11,214.173943
-2.436558,7,215.652482
-1.0,5,216.680351
2.459713,13,219.154188
0.0,13,221.631586
-2.768538,8,223.01201
2.0,13,225.517499
-3.316297,5,226.449558
1.472861,13,228.448697
1.550181,13,230.870395
-0.681243,6,231.808362
3.193997,13,234.20487
-4.384759,8,235.56612
5.861958,13,237.487617
6.176922,13,239.371941
3.0,13,241.192999
-0.57992,5,241.970837
9.0,9,243.121011
7.62673,10,244.655379
7.244344,10,245.878852
6.534022,13,247.909235
5.141247,13,250.160448
-1.318719,6,251.205804
0.0,13,253.288468
-1.379585,9,254.854858
-3.0,10,256.78601
1.0,13,259.264185
-1.436972,7,260.512689
-2.365057,7,261.804478
-3.0,10,263.427251
5.457087,13,265.461459
1.0,13,267.719343
-3.372844,7,268.954512
-1.731221,7,269.94634
8.617423,10,271.552536
-2.006738,6,272.640914
6.112445,11,278.048811
0.629225,13,279.785988
9.0,9,281.010207
3.904613,12,282.766686
1.472915,13,284.431384
-3.316297,5,284.957264
8.550182,11,286.35792
4.626815,13,288.185653
3.626742,13,290.048479
7.61852,9,291.223078
8.550182,11,293.319197
7.681208,9,294.923227
6.0,13,296.99343
7.616072,9,298.18981
-0.841249,5,298.949578
-1.366575,6,299.888777
4.522793,13,301.964849
-2.0,5,302.65689
7.681208,9,303.930816
1.217857,13,305.736485
0.629225,13,307.508798
-3.317982,9,308.874
-1.693225,8,310.243496
-2.0,4,310.792091
-1.0,5,311.627363
-1.0,5,312.313227
-2.373197,6,313.230156
-2.318366,6,314.075423
7.0,13,315.52838
5.238082,13,317.472854
8.475491,13,319.289985
9.0,9,320.524616
2.0,13,322.252031
-2.0,9,323.602614
4.843289,11,325.458603
6.245558,12,326.764074
6.562945,11,328.168175
-1.318719,6,329.161572
7.243579,10,330.46458
-5.0,8,331.726063
