#{"t_start": 1764103582.5036492, "env_id": "highway-v0"}
r,l,t
14.594745,17,5.527597
14.076134,18,9.410169
19.664854,22,14.100748
11.909465,16,17.522163
13.685047,16,21.004078
17.213306,22,25.847994
16.112357,19,30.022402
17.907006,22,34.754771
13.574564,17,38.427497
9.375025,11,40.713785
40.800366,48,50.922896
18.302157,22,55.787689
14.383259,17,59.554826
5.900439,7,61.069727
8.311459,12,63.627927
45.115156,59,76.198117
12.715636,15,79.441344
3.919175,6,80.728763
28.659927,36,88.511827
9.018192,12,91.064107
5.85823,7,92.590563
7.352864,11,94.956562
11.449558,16,98.504229
17.710949,22,103.155407
22.1653,25,108.570053
61.548466,78,125.424173
18.297038,23,130.506296
36.330582,43,139.743452
24.747152,30,146.210096
13.035056,17,149.890444
27.742927,36,157.591377
11.14567,14,160.691566
4.004284,6,162.030979
5.969566,9,163.983918
4.701278,6,165.330897
6.496749,8,167.065837
7.439934,10,169.262447
30.92445,37,177.259605
18.341458,24,182.507269
15.796955,20,186.803736
16.347045,19,190.914009
6.151216,8,192.67855
32.17742,42,201.800951
29.936004,41,210.69779
5.487888,7,212.194471
2.91693,4,213.069647
46.966099,62,226.532297
26.446848,34,233.899924
17.777811,22,238.702385
15.028217,19,242.760352
41.607231,49,253.327326
11.65728,15,256.522887
4.048339,5,257.624081
23.941681,31,264.274674
19.262384,21,268.779109
3.696027,5,269.870414
8.64989,10,272.013943
15.638302,18,275.850562
38.420029,52,287.069967
29.873617,38,295.209452
19.703447,26,300.793117
29.716723,38,308.965914
33.752147,38,317.143036
26.108818,33,324.136053
9.825139,11,326.532913
35.503544,49,337.146143
10.014947,12,339.719392
18.184736,21,344.204013
36.872137,51,355.114079
10.630805,13,357.950834
47.011198,62,371.356962
34.440379,40,379.803304
20.162056,24,384.922977
36.454489,48,395.224041
3.683572,5,396.361663
4.237365,6,397.670202
4.507188,7,399.218277
38.534389,44,408.66074
11.200488,13,411.445809
8.80499,10,413.542995
6.174481,9,415.50677
2.827357,4,416.388747
12.805234,16,419.815716
6.39733,8,421.544354
13.053077,14,424.569699
4.874324,6,425.89102
3.635582,6,427.255242
22.701478,30,433.6544
11.648163,14,436.686713
3.513186,5,437.791812
7.48416,9,439.671796
6.95832,9,441.575805
8.718875,12,448.548529
10.811924,15,451.851941
13.672437,18,455.713262
17.16764,24,461.026973
20.882921,26,466.65243
22.920062,30,473.19129
4.20015,5,474.25543
34.889064,43,483.556461
22.66009,32,490.512359
8.212398,11,492.895931
26.74556,34,500.239024
52.970765,66,514.523694
54.557584,71,529.967236
15.359233,21,534.466597
28.979189,39,542.744112
8.294269,11,545.058747
11.255762,13,547.780227
11.508076,13,550.624405
21.575502,29,556.783639
8.856903,12,559.343328
16.349525,21,563.911151
38.420717,52,574.910762
24.275113,29,581.154189
29.990417,38,589.330137
5.66308,7,590.826592
17.28576,24,595.945736
4.88157,6,597.259902
3.266717,5,598.371094
9.95914,15,601.593509
62.218239,80,618.865192
15.408042,21,623.303091
7.416661,9,625.296756
25.09035,33,632.342737
43.203109,56,644.539309
62.183995,80,661.741681
16.782209,21,666.261337
7.189001,9,668.126365
12.901942,17,671.725324
23.301119,28,678.354621
17.299556,23,683.645559
11.664125,16,687.217385
26.943598,33,694.810663
12.919413,15,698.334473
3.762664,5,700.068525
5.200158,8,701.914193
4.602272,6,703.299724
10.39995,13,706.380943
26.707802,32,713.628818
39.583759,46,723.952445
14.790178,17,727.690303
9.445193,13,730.80814
16.107448,19,735.351974
8.70529,11,737.867782
59.565353,80,756.331004
13.41398,18,760.876346
26.584453,34,769.541357
9.771936,13,772.467717
35.596643,50,783.572213
8.177356,10,785.735228
18.712444,24,791.033906
