#{"t_start": 1765348518.6248045, "env_id": "merge-v0"}
r,l,t
15.189568,17,4261.240884
14.66179,17,4261.590911
14.225165,17,4261.812639
15.189568,17,4262.07038
13.801665,17,4262.278329
14.578457,17,4262.511304
14.66179,17,4262.684777
14.66179,17,4262.889394
15.189568,17,4263.123403
12.078061,17,4263.33955
15.189568,17,4263.615365
14.66179,17,4263.840532
15.189568,17,4264.062996
14.66179,17,4264.327139
14.606234,17,4264.570827
15.189568,17,4264.788238
14.225165,17,4265.0242
14.66179,17,4265.272273
14.225165,17,4265.454566
13.718331,17,4265.679504
14.66179,17,4265.874052
13.718331,17,4266.08275
14.225165,17,4266.324966
14.66179,17,4266.574253
13.801665,17,4266.776374
15.189568,17,4267.007257
14.66179,17,4267.2082
14.66179,17,4267.421879
12.078061,17,4267.667911
14.225165,17,4267.924124
15.189568,17,4268.193494
14.225165,17,4268.458488
13.801665,17,4268.687437
14.66179,17,4268.915648
14.66179,17,4269.139929
14.606234,17,4269.320908
14.66179,17,4269.607664
14.66179,17,4269.813592
13.801665,17,4270.025936
14.225165,17,4270.235834
12.078061,17,4270.498786
14.66179,17,4270.77409
15.189568,17,4271.016803
13.801665,17,4271.272193
14.717346,17,4271.509705
13.801665,17,4271.735066
15.189568,17,4271.965179
14.66179,17,4272.166202
15.189568,17,4272.419721
13.801665,17,4272.629765
14.225165,17,4272.837456
12.078061,17,4273.069634
13.801665,17,4273.275869
15.189568,17,4273.50257
14.225165,17,4273.723384
13.801665,17,4273.969574
15.189568,17,4274.17137
15.189568,17,4274.407323
14.225165,17,4274.606037
14.225165,17,4274.798696
12.078061,17,4275.017771
14.225165,17,4275.208693
15.189568,17,4275.442073
13.718331,17,4275.64484
13.718331,17,4275.848
15.189568,17,4276.06749
12.078061,17,4276.307359
13.801665,17,4276.516523
15.189568,17,4276.771959
15.189568,17,4276.98343
15.189568,17,4277.228283
15.189568,17,4277.422016
15.189568,17,4277.652818
14.606234,17,4277.912431
14.66179,17,4278.09577
14.225165,17,4278.326816
15.189568,17,4278.639268
14.225165,17,4278.833052
13.801665,17,4279.024049
14.66179,17,4279.237435
12.078061,17,4279.475462
14.66179,17,4279.717551
14.225165,17,4279.932743
14.225165,17,4280.163723
14.66179,17,4280.375644
14.66179,17,4280.59076
15.189568,17,4280.762275
14.66179,17,4280.950034
15.189568,17,4281.199391
14.66179,17,4281.464061
13.801665,17,4281.673047
14.66179,17,4281.885363
14.66179,17,4282.112454
14.225165,17,4282.361586
15.189568,17,4282.601394
14.225165,17,4282.798347
15.189568,17,4283.028521
14.66179,17,4283.245792
14.225165,17,4283.49615
15.189568,17,4283.728623
13.801665,17,4283.920629
14.225165,17,4284.141569
14.66179,17,4284.376458
13.801665,17,4284.609346
14.66179,17,4284.838365
12.078061,17,4285.031081
14.66179,17,4285.250173
15.189568,17,4285.509629
14.225165,17,4285.709283
14.66179,17,4285.916753
13.801665,17,4286.123041
15.189568,17,4286.372755
14.66179,17,4286.595057
14.66179,17,4286.806732
15.189568,17,4287.043851
14.225165,17,4287.246775
14.772901,17,4287.495218
14.225165,17,4287.72239
13.718331,17,4287.919153
12.078061,17,4288.203461
15.189568,17,4288.621483
14.66179,17,4288.893965
14.66179,17,4289.087065
14.66179,17,4289.336613
15.189568,17,4289.572951
14.66179,17,4289.805311
15.189568,17,4290.045251
14.225165,17,4290.268875
13.801665,17,4290.51271
12.078061,17,4290.734798
14.225165,17,4290.964662
12.078061,17,4291.163673
14.66179,17,4291.395118
14.578457,17,4291.657672
14.225165,17,4291.893562
13.718331,17,4292.140437
12.105839,17,4292.362243
14.225165,17,4292.628231
13.746109,17,4292.864462
14.225165,17,4293.113869
14.66179,17,4293.381149
14.66179,17,4293.648866
14.225165,17,4293.943007
15.189568,17,4294.186478
14.66179,17,4294.375509
13.801665,17,4294.620376
14.225165,17,4294.840546
15.189568,17,4295.074775
14.225165,17,4295.278814
15.189568,17,4295.533943
13.718331,17,4295.764273
15.189568,17,4296.011681
14.225165,17,4296.206716
14.66179,17,4296.394913
15.189568,17,4296.647422
14.66179,17,4296.884946
14.66179,17,4297.126385
15.189568,17,4297.367245
14.66179,17,4297.568441
14.225165,17,4297.736817
14.66179,17,4297.935063
