#{"t_start": 1765348516.6772072, "env_id": "merge-v0"}
r,l,t
3.041637,4,2.640653
4.824535,6,2.772591
5.861648,7,2.958612
7.542357,9,3.16677
8.917668,12,3.450558
6.830387,8,3.649467
8.79126,11,3.915877
5.179068,6,4.062143
7.535542,9,4.273017
7.616367,9,4.477035
5.034542,6,4.609599
6.916668,8,4.784154
4.854359,6,4.949786
6.794926,8,5.15335
4.336278,5,5.258593
6.040165,7,5.406028
4.11244,5,5.523855
6.478002,8,5.714792
4.960357,6,5.858824
6.762464,8,6.042477
4.886388,6,6.180609
4.985285,6,6.318142
6.181528,7,6.465603
10.215239,13,6.73881
8.405051,10,6.975032
10.964095,14,7.289454
6.213627,7,7.45128
5.090098,6,7.579244
8.485665,10,7.803415
4.123578,5,7.924441
11.087325,14,8.23258
4.056218,5,8.359898
11.106613,13,8.641914
3.132123,4,8.735862
7.341671,9,8.94676
7.183835,8,9.116145
6.156057,7,9.272151
9.763607,12,9.540483
6.000105,7,9.696327
3.984703,5,9.807052
9.289281,12,10.073656
5.671425,7,10.230795
7.229618,8,10.400054
6.166839,7,10.571769
7.055094,8,10.747448
10.04927,13,11.032336
6.180215,7,11.181681
11.934367,16,11.537091
7.242721,9,11.747464
6.951841,8,11.928711
8.708028,11,12.174581
10.90664,14,12.479901
13.678117,15,12.818983
10.167653,12,13.092579
8.989322,12,13.357654
15.050679,17,13.765847
5.038987,6,13.909187
6.701166,8,14.088774
6.099067,7,33.032432
3.081454,4,33.121838
4.05261,5,33.261443
5.945888,7,33.410043
3.966855,5,33.517756
3.960213,5,33.630648
3.261116,4,33.729189
6.000537,7,33.905334
4.336278,5,34.033464
3.275277,4,34.120295
5.845798,7,34.279245
4.164788,5,34.38173
8.296038,10,34.618375
8.465206,10,34.842449
4.225167,5,34.970913
5.050189,6,35.121922
10.567381,12,35.388062
11.053922,15,35.729693
6.854088,8,35.978239
4.095336,5,36.118596
11.269985,14,36.433818
8.540968,10,36.645323
11.134663,13,36.967386
8.959977,11,37.210507
3.88596,5,37.32931
5.099551,6,37.457491
3.271012,4,37.538892
8.071116,9,37.753023
9.228087,11,38.009215
6.017029,7,38.173227
4.050554,5,38.293211
5.095918,6,38.425529
11.255686,14,38.741867
7.128279,8,38.925876
4.908966,6,39.066768
10.341539,12,39.336289
6.252943,7,39.494848
8.251932,10,39.706335
8.37301,10,39.926996
3.041637,4,40.021347
12.238539,16,40.377516
3.3085,4,40.46588
6.113934,7,40.636537
4.144486,5,40.739516
5.111648,6,40.870191
10.188564,12,41.164062
4.23577,5,41.266614
11.690552,14,41.586411
5.170094,6,41.712463
3.939078,5,41.827025
6.166839,7,41.996851
11.633376,14,42.310361
3.138889,4,42.396147
7.766171,9,42.589013
8.092553,9,42.79777
6.896217,8,42.994878
3.179259,4,43.08848
13.751958,15,43.420318
7.818969,9,43.619484
11.419598,13,43.939239
6.877023,8,44.14272
11.133041,13,44.434614
5.080832,6,44.569427
3.271012,4,44.653021
6.392921,8,64.118464
13.64118,15,64.446163
6.707205,8,64.643281
4.868507,6,64.785878
6.06232,7,64.957243
7.460035,9,65.173268
9.866526,13,65.469558
7.200168,9,65.674759
13.272901,15,66.009664
3.277778,4,66.107408
7.588896,9,66.306863
4.064213,5,66.423232
7.54122,9,66.629588
6.669798,8,66.815612
4.164788,5,66.930122
6.068043,7,67.113839
5.194475,6,67.250581
13.417001,15,67.586323
10.318033,12,67.847135
11.923841,14,68.248069
8.041197,9,68.454494
6.809285,8,68.660838
13.384998,16,69.000589
4.259494,5,69.128921
4.146679,5,69.278451
7.219288,8,69.471911
10.397015,14,69.814302
3.345926,4,69.909277
6.692041,8,70.109339
7.287024,9,70.320111
11.333265,15,70.658876
8.083667,9,70.869213
10.106945,13,71.201182
12.029985,16,71.607732
6.882964,8,71.819925
11.743337,14,72.203506
11.500674,15,72.547086
10.896709,12,72.855225
9.374517,11,73.138458
4.690063,6,73.295519
8.004812,9,73.495119
3.336278,4,73.587607
13.807847,16,73.973061
4.023078,5,74.104292
13.078392,15,74.437558
3.354346,4,74.532044
14.16179,16,74.892666
4.955654,6,75.020076
12.530069,14,75.337782
4.069415,5,75.449025
3.96925,5,75.561119
4.012584,5,75.671113
5.127023,6,75.812312
4.076568,5,75.937553
13.789555,16,96.044651
10.26524,13,96.386688
12.548455,14,96.707055
4.923431,6,96.851083
10.825208,14,97.189131
4.152749,5,97.307639
3.277778,4,97.422289
3.318148,4,97.515536
12.384012,14,97.876845
10.036006,13,98.274643
11.25,12,98.535559
5.925886,7,98.691447
14.345118,16,99.055599
11.176204,14,99.387498
3.919948,5,99.502198
3.070167,4,99.591697
3.366667,4,99.678455
10.66149,14,99.976081
11.111203,13,100.311174
11.765148,14,100.657516
10.234602,12,100.926841
4.203938,5,101.04138
12.023609,14,101.377165
11.128135,13,101.677896
4.882833,6,101.818452
3.979618,5,101.929061
13.383688,15,102.275268
6.824718,8,102.453714
13.800679,16,102.821332
7.332611,9,103.025001
7.329144,9,103.253681
12.911512,15,103.612994
4.966382,6,103.738079
13.244789,15,104.07761
4.187679,5,104.192512
10.679627,14,104.516546
11.580319,16,104.9027
9.845308,12,105.159562
5.864382,7,105.323101
8.341243,10,105.541603
12.280909,14,105.861444
4.022411,5,105.969588
7.180432,8,106.165902
5.156054,6,106.31152
4.133522,5,106.428368
4.025204,5,106.548996
3.972885,5,106.652036
9.814628,13,106.96923
4.095814,5,107.080412
7.567543,9,107.288846
14.189558,16,107.634908
7.292391,8,107.814886
5.727034,7,107.988988
4.262593,5,127.085756
7.412151,9,127.304306
13.041183,15,127.625336
13.800679,16,127.974642
13.800679,16,128.34795
3.398383,4,128.432795
13.328456,15,128.804229
8.042066,10,129.023579
4.099551,5,129.131788
6.127957,7,129.315123
3.248121,4,129.394827
3.148383,4,129.472859
7.697054,9,129.685447
6.118144,7,129.83563
14.328457,16,130.180292
11.074341,13,130.508143
13.613531,16,130.860916
13.217346,15,131.199968
12.63994,15,131.564779
5.016488,6,131.69687
8.569911,10,131.923546
4.106007,5,132.025534
12.549708,15,132.361689
7.930559,10,132.598626
6.357721,8,132.784645
8.488784,10,133.003543
11.001157,14,133.322322
10.095827,13,133.62216
6.060528,7,133.782406
11.503537,14,134.091411
12.91179,15,134.450247
11.19471,15,134.788678
13.634012,16,135.192497
6.955561,8,135.385908
10.245482,12,135.664398
12.483348,14,135.983228
4.883676,6,136.107314
9.180073,11,136.361971
12.607488,15,136.710275
9.79133,11,136.96486
4.197389,5,137.069523
5.854512,7,137.225272
11.996986,16,137.604058
3.29037,4,137.689781
15.039563,17,138.091348
10.003685,14,138.417061
9.345114,11,138.670297
11.873225,15,157.86834
14.522901,17,158.264664
11.988946,15,158.61638
11.349936,15,158.936554
5.136325,6,159.066075
4.275899,5,159.17531
11.661753,16,159.543219
5.959056,7,159.705106
6.896704,8,159.887961
11.934654,16,160.267286
12.356593,15,160.654303
13.660723,16,161.02493
12.055258,16,161.39415
14.00001,15,161.733999
11.055774,15,162.065896
5.947152,7,162.247558
14.002943,17,162.666336
4.394444,5,162.784776
10.751091,13,163.088849
12.28922,14,163.446242
4.291637,5,163.567631
13.106233,15,163.908196
13.874461,16,164.260254
11.885875,16,164.638003
13.134011,15,165.009824
11.752344,15,165.407826
13.947388,17,165.797249
12.680201,15,166.133039
3.243235,4,166.218939
5.052605,6,166.365149
7.356593,9,166.575226
3.243235,4,166.660764
13.336275,16,167.045477
13.134012,15,167.396101
9.446504,12,167.666941
12.245123,14,167.997694
5.771308,7,168.153604
6.168246,7,168.313416
10.965735,13,168.61526
12.289563,14,168.944049
13.215446,15,169.297853
5.671466,7,169.472684
5.717821,7,169.629059
7.281862,9,188.878309
8.134374,10,189.112691
5.586911,7,189.293783
10.95892,13,189.600453
12.530666,15,189.970619
15.106234,17,190.35136
4.854049,6,190.513412
12.356943,15,190.846417
7.367051,9,191.064481
12.827245,15,191.424656
13.551665,17,191.817017
12.995123,15,192.144749
14.939568,17,192.534636
9.689926,12,192.829016
11.191531,14,193.202938
7.551155,9,193.419264
12.305211,16,193.787365
11.988587,16,194.155687
12.967344,14,194.477394
9.776278,12,194.767474
5.095918,6,194.910543
12.383616,17,195.294101
4.985867,6,195.430807
5.095814,6,195.57011
3.169109,4,195.66566
8.460236,10,195.919963
13.522846,15,196.254275
14.114054,17,196.723885
5.717822,7,196.93557
12.138592,16,197.327036
3.930427,5,197.453238
10.064227,12,197.788965
12.067256,16,198.164554
7.383148,9,198.390706
13.428118,15,198.78657
6.605185,8,199.021854
9.456229,11,199.338591
3.941499,5,199.44855
4.206925,5,199.573748
6.930504,8,199.74754
14.189568,16,200.09755
4.040245,5,200.21246
11.71695,17,200.620899
4.76665,6,200.755413
12.981289,16,221.413397
11.786647,14,221.739662
12.939568,15,222.107011
13.66179,15,222.431924
12.765532,15,222.767955
5.012385,6,222.891788
7.495123,9,223.076839
14.884012,17,223.477363
9.038991,11,223.769956
12.30743,16,224.140163
4.29879,5,224.263378
4.920687,6,224.395317
9.119197,11,224.659299
4.708997,6,224.783412
12.163653,16,225.130644
13.634004,15,225.465012
5.027316,6,225.609128
12.249703,16,226.038123
12.033342,14,226.345935
11.749703,16,226.723729
13.346741,15,227.066848
10.265072,12,227.330579
5.236081,6,227.47397
11.55582,15,227.857558
13.967346,16,228.255847
12.166368,16,228.663819
13.705952,15,229.036255
12.411394,17,229.522759
14.967068,17,229.978966
13.151335,16,230.379777
12.400397,15,230.746053
11.996986,16,231.119613
12.216373,15,231.449049
11.780074,15,231.831555
9.69394,11,232.099456
12.549716,15,232.43449
13.433618,17,232.837664
13.272901,16,233.213305
11.663653,16,253.184464
12.650278,17,253.801086
8.969309,11,254.985154
12.105273,15,256.067219
13.16179,15,257.264638
13.370945,16,258.84399
3.362733,4,259.079463
6.783852,8,259.928694
9.724641,12,260.679151
11.437428,14,261.298086
6.877599,8,261.576817
13.356233,15,262.044273
11.851735,15,262.504601
9.308059,11,262.874242
12.305211,16,263.325649
3.992299,5,263.501596
6.660005,8,263.744585
6.579711,8,264.044631
4.127601,5,264.196932
10.883041,13,264.600354
14.272901,16,265.098926
3.207037,4,265.222606
13.217345,15,265.676008
11.00313,13,266.096614
12.025857,16,266.612838
13.606593,16,267.114503
13.300354,15,267.565934
4.98653,6,267.751366
12.429678,17,268.3004
11.708585,16,268.748158
14.41179,16,269.259949
12.81863,15,269.723857
12.192525,16,270.229512
9.915084,13,270.530893
14.884012,17,270.929367
13.5834,15,271.26205
5.036894,6,271.424054
13.19789,16,271.836204
14.689568,17,272.280113
11.552541,16,272.641715
5.034898,6,272.806236
13.689568,16,292.701009
9.995482,12,292.979312
13.125365,16,293.427969
11.706219,13,293.964797
14.772901,17,294.465026
4.697618,6,294.60554
12.428452,15,295.01609
11.801037,14,295.350114
14.272901,16,295.778407
7.809149,9,296.014732
6.42338,8,296.209974
8.245482,10,296.454815
11.663653,16,296.869125
11.904159,16,297.267358
14.856234,17,297.652024
9.170963,11,297.943205
14.083676,16,298.315167
12.522228,17,298.723864
4.002122,5,298.861007
12.138536,16,299.232924
14.967344,17,299.622461
12.249703,16,300.006294
12.052494,16,300.368339
11.500256,15,300.705173
12.163653,16,301.133084
13.513407,15,301.564077
8.675327,10,301.884816
12.605839,17,302.279262
12.606593,15,302.605128
6.381004,8,302.838567
8.384371,10,303.117367
7.448854,9,303.392394
15.050679,17,303.858931
12.677213,15,304.275124
11.598603,16,304.725044
10.047428,13,305.116471
12.194147,16,305.522981
6.513593,8,305.717858
7.481354,9,326.738765
12.550283,17,327.182261
12.833741,16,327.617812
12.163753,15,327.957416
10.823584,14,328.321456
7.030723,8,328.565796
3.114056,4,328.659607
14.022901,16,329.0575
14.16179,16,329.415046
11.124762,14,329.760876
12.024764,16,330.134682
13.022901,15,330.476803
13.280721,16,330.847376
14.41179,16,331.225617
8.924753,11,331.456025
15.134011,17,331.836434
11.725533,14,332.185878
4.191623,5,332.298013
7.465559,9,332.530428
