#{"t_start": 1764475659.9987261, "env_id": "merge-v0"}
r,l,t
14.475165,17,4029.083518
12.150278,17,4029.312588
14.835624,17,4029.495053
14.957852,17,4029.666722
14.957852,17,4029.861269
15.335624,17,4030.100391
14.957852,17,4030.388434
14.475165,17,4030.563814
13.90166,17,4030.740837
15.335624,17,4030.951678
14.863402,17,4031.173619
13.634998,17,4031.380226
14.521227,17,4031.552035
13.708838,17,4031.747085
12.140784,17,4031.937706
14.835624,17,4032.12029
13.90166,17,4032.29506
14.957852,17,4032.47419
14.475165,17,4032.642219
15.335624,17,4032.844501
13.90166,17,4033.008716
14.957852,17,4033.229345
14.475165,17,4033.414839
15.335624,17,4033.64592
15.335624,17,4033.858337
12.140784,17,4034.020082
14.957852,17,4034.215854
15.335624,17,4034.43624
14.521227,17,4034.631491
15.335624,17,4034.841986
15.335624,17,4035.067105
15.335624,17,4035.251614
15.057847,17,4035.477775
13.90166,17,4035.72312
10.663043,13,4035.878225
12.140784,17,4036.06361
14.957852,17,4036.268466
14.957852,17,4036.463015
13.764393,17,4036.678946
13.662776,17,4036.879787
14.475165,17,4037.05492
14.957852,17,4037.236916
14.957852,17,4037.440971
14.957852,17,4037.653692
12.140784,17,4037.818885
12.224117,17,4037.981341
14.475165,17,4038.173786
14.475165,17,4038.367641
14.957852,17,4038.562669
15.057847,17,4038.780242
14.521227,17,4038.963915
14.957852,17,4039.13719
14.475165,17,4039.317721
13.68106,17,4039.513148
14.957852,17,4039.711843
13.662776,17,4039.877865
14.780069,17,4040.040839
15.057847,17,4040.204572
14.957852,17,4040.405128
12.140784,17,4040.607264
15.335624,17,4040.811923
15.335624,17,4040.972581
14.521227,17,4041.129224
15.335624,17,4041.319672
14.521227,17,4041.545702
15.335624,17,4041.789185
15.335624,17,4042.007876
14.957852,17,4042.177576
15.335624,17,4042.380516
14.475165,17,4042.575917
12.224117,17,4042.742515
15.335624,17,4042.931795
14.521227,17,4043.152127
12.224117,17,4043.327319
14.957852,17,4043.538775
15.057847,17,4043.768208
15.335624,17,4044.001903
14.410116,17,4044.203282
14.957852,17,4044.416406
14.957852,17,4044.599242
14.957852,17,4044.77218
15.335624,17,4044.979023
14.835624,17,4045.200382
14.724513,17,4045.404059
14.475165,17,4045.592567
14.521227,17,4045.791777
15.335624,17,4046.044074
14.475165,17,4046.235154
14.521227,17,4046.452663
15.335624,17,4046.642094
13.634998,17,4046.806068
15.057847,17,4047.042874
15.335624,17,4047.271136
14.64118,17,4047.478941
14.957852,17,4047.640091
14.957852,17,4047.875116
14.668958,17,4048.047321
14.957852,17,4048.219113
14.957852,17,4048.431679
14.863402,17,4048.653262
13.90166,17,4048.851431
14.780069,17,4049.067154
14.957852,17,4049.273613
14.475165,17,4049.462729
14.475165,17,4049.661472
15.335624,17,4049.888466
14.475165,17,4050.09991
14.475165,17,4050.323092
13.90166,17,4050.524208
15.335624,17,4050.714998
15.057847,17,4050.953748
11.849161,14,4051.130977
14.64118,17,4051.310129
14.957852,17,4051.494781
15.057847,17,4051.65607
14.475165,17,4051.828845
14.957852,17,4051.991228
15.335624,17,4052.174837
14.957852,17,4052.339905
14.475165,17,4052.502229
14.475165,17,4052.682905
13.792171,17,4052.868392
15.057847,17,4053.085038
14.957852,17,4053.256251
14.475165,17,4053.420068
15.335624,17,4053.618759
14.957852,17,4053.819344
15.057847,17,4054.032416
13.90166,17,4054.222276
13.90166,17,4054.387239
14.521227,17,4054.575866
14.957852,17,4054.790441
14.475165,17,4054.994009
15.335624,17,4055.176418
14.475165,17,4055.387473
14.475165,17,4055.560185
14.957852,17,4055.742738
14.957852,17,4055.971616
13.90166,17,4056.141158
15.057847,17,4056.320561
14.957852,17,4056.513942
15.057847,17,4056.70748
14.475165,17,4056.903542
14.279938,17,4057.118832
14.521227,17,4057.299189
14.475165,17,4057.486898
14.957852,17,4057.694402
14.475165,17,4057.920485
15.335624,17,4058.113203
15.335624,17,4058.285421
14.957852,17,4058.48183
14.521227,17,4058.660336
13.90166,17,4058.831525
14.957852,17,4059.024041
14.475165,17,4059.283828
15.335624,17,4059.538435
15.057847,17,4059.756642
14.91179,17,4059.980951
15.335624,17,4060.229239
14.780069,17,4060.542892
14.957852,17,4062.12931
15.335624,17,4062.392094
15.335624,17,4062.606494
14.957852,17,4062.780904
14.521227,17,4062.984235
13.90166,17,4063.138117
14.957852,17,4063.315096
13.634998,17,4063.471395
14.475165,17,4063.71528
14.475165,17,4064.012361
14.957852,17,4064.241222
14.957852,17,4064.477947
15.335624,17,4064.738733
14.521227,17,4064.95917
13.90166,17,4065.126588
14.521227,17,4065.326149
15.057847,17,4065.565894
14.475165,17,4065.757305
15.335624,17,4065.963846
15.057847,17,4066.149096
14.957852,17,4066.329166
14.957852,17,4066.575148
13.90166,17,4066.765486
14.475165,17,4066.975544
14.957852,17,4067.182223
14.957852,17,4067.37012
14.521227,17,4067.577729
14.957852,17,4067.770523
14.475165,17,4067.931522
12.140784,17,4068.112277
15.335624,17,4068.366841
14.475165,17,4068.57875
14.780069,17,4068.773717
15.335624,17,4069.000636
14.957852,17,4069.160147
13.90166,17,4069.326532
14.957852,17,4069.547172
14.957852,17,4069.717301
14.957852,17,4069.946763
13.662776,17,4070.133001
13.90166,17,4070.30711
14.835624,17,4070.497894
15.335624,17,4070.706797
14.475165,17,4070.931242
14.521227,17,4071.154601
15.335624,17,4071.338639
12.113006,17,4071.540435
14.835624,17,4071.764009
14.957852,17,4071.965438
14.957852,17,4072.160358
15.335624,17,4072.377507
14.668958,17,4072.587262
15.057847,17,4072.759282
15.335624,17,4072.942317
14.475165,17,4073.10834
14.521227,17,4073.26492
15.335624,17,4073.448391
15.335624,17,4073.616431
15.057847,17,4073.790911
14.521227,17,4073.977868
14.521227,17,4074.17371
15.335624,17,4074.393468
15.335624,17,4074.615771
15.057847,17,4074.807148
15.335624,17,4075.019953
15.335624,17,4075.247169
14.475165,17,4075.459387
14.957852,17,4075.684794
15.335624,17,4075.848347
15.335624,17,4076.0588
13.662776,17,4076.232883
15.335624,17,4076.409194
13.764393,17,4076.589293
15.335624,17,4076.75947
13.634998,17,4076.939091
14.957852,17,4077.14816
15.335624,17,4077.323254
13.90166,17,4077.54957
14.475165,17,4077.770618
14.521227,17,4077.97397
15.057847,17,4078.206876
13.68106,17,4078.395666
14.475165,17,4078.614581
13.634998,17,4078.795888
14.475165,17,4078.990503
13.662776,17,4079.180528
15.335624,17,4079.365368
13.90166,17,4079.583431
14.521227,17,4079.772029
13.68106,17,4079.958966
13.90166,17,4080.193558
14.957852,17,4080.376205
14.957852,17,4080.556967
15.335624,17,4080.750815
14.521227,17,4080.962694
13.68106,17,4081.158226
14.957852,17,4081.385656
