#{"t_start": 1765345706.6353946, "env_id": "merge-v0"}
r,l,t
3.345926,4,2.012522
6.21413,7,2.200371
4.028298,5,2.304119
6.231716,7,2.468783
4.207037,5,2.604314
7.54218,9,2.828691
9.55113,12,3.125233
9.170638,11,3.380573
10.556992,13,3.653852
13.196458,15,4.016462
5.220343,6,4.194792
4.006741,5,4.330075
5.817957,7,4.471366
8.278341,11,4.679667
8.049612,10,4.89259
6.072724,7,5.091251
6.414136,8,5.291447
4.373704,5,5.436762
11.985592,16,5.788469
6.722757,8,5.946517
9.061111,10,6.147878
3.99462,5,6.249119
6.425542,8,6.431564
6.853857,8,6.649439
4.037134,5,6.763823
6.98939,8,6.987217
6.932436,8,7.166234
6.992889,8,7.344247
6.891833,8,7.529301
8.020686,10,7.744912
7.412149,9,8.019582
5.206925,6,8.154382
9.783378,11,8.412714
7.988394,9,8.615207
6.77653,8,8.792344
5.151367,6,8.964638
13.91179,16,9.349391
7.774827,9,9.549785
11.113455,15,9.892068
5.233431,6,10.022214
3.252945,4,10.113869
4.850501,6,10.240542
5.027883,6,10.376131
4.171844,5,10.488129
10.602982,14,10.795754
6.838072,8,11.022805
14.444836,16,11.46484
3.366667,4,11.551895
6.000164,7,11.722961
12.300679,14,12.026601
3.987991,5,12.122864
12.252945,14,12.43444
9.181815,11,12.683231
7.691329,9,12.907935
4.148188,5,13.017983
5.708714,7,13.162947
5.979535,7,13.307431
5.700518,7,13.464245
5.768688,7,13.638052
12.080318,16,14.126294
10.903049,14,14.434975
6.737991,8,14.610476
11.635875,16,14.956164
4.070283,5,15.07686
12.986615,16,15.467807
13.300679,15,15.810597
11.373575,13,16.098474
11.239536,12,16.343991
5.933835,7,16.506875
5.850366,7,16.68228
7.151369,8,16.901801
5.999902,7,17.25961
9.61602,12,17.51371
6.042639,7,17.682277
10.558877,14,18.031748
10.317658,12,18.39729
14.245123,16,18.849122
4.181074,5,19.004546
9.213386,11,19.358949
4.180416,5,19.49823
5.960036,7,19.70756
6.799746,8,19.969153
9.873634,12,20.386227
6.794095,8,21.354177
10.582046,12,21.866635
15.134012,17,22.496434
13.516106,16,23.325301
3.264612,4,23.5303
6.837433,8,23.893676
7.532074,9,24.3442
4.111216,5,24.74396
14.076502,16,25.637226
11.902536,16,26.408456
13.5834,15,27.124262
7.627434,10,27.642589
12.383616,17,30.227435
11.167708,13,30.601197
13.707852,16,31.038006
12.868879,16,31.42151
12.432429,16,31.943362
11.535655,13,32.352911
13.495066,15,32.793888
11.482657,14,33.246556
12.86671,15,33.812899
8.63437,11,34.314809
7.331156,9,34.590417
7.38599,9,34.883072
14.557847,17,35.342717
6.396068,8,35.58196
13.509561,15,36.058385
12.189172,17,36.5576
10.531894,14,37.028892
15.106234,17,37.585629
11.967586,16,38.134808
8.215571,10,38.412703
11.780913,14,38.768113
12.222431,15,39.06719
14.874241,17,39.409958
15.041185,17,39.752782
14.791185,17,40.089229
13.265828,16,40.4279
8.885444,11,40.757037
6.123704,7,41.033467
14.900674,17,41.498082
12.439172,17,41.969473
13.604361,16,42.327888
11.73587,16,42.760752
12.263315,16,43.175609
10.996147,13,43.455974
12.122534,16,43.800859
13.7216,16,44.133439
10.786909,13,44.439796
15.134012,17,44.810926
12.243514,14,45.129573
13.169611,15,45.460001
7.67343,9,45.696357
14.745123,17,46.080737
14.634012,17,46.418613
11.985545,16,46.753381
8.635755,10,46.977297
14.372619,16,47.370006
14.689568,17,47.788489
12.568148,14,48.086599
14.160443,17,48.441751
14.058555,17,48.808616
