#{"t_start": 1764487743.2317662, "env_id": "merge-v0"}
r,l,t
15.106234,17,1815.572903
14.772901,17,1815.728157
12.844445,17,1815.882684
15.189568,17,1816.03177
15.261508,17,1816.193979
15.23373,17,1816.356737
15.106234,17,1816.527974
12.74445,17,1816.685708
15.106234,17,1816.851237
15.106234,17,1817.004858
15.106234,17,1817.157003
12.689172,17,1817.316873
15.217068,17,1817.474225
15.189568,17,1817.628634
15.106234,17,1817.808877
15.261508,17,1817.96687
15.244846,17,1818.122734
12.689172,17,1818.26829
14.66179,17,1818.418631
12.689172,17,1818.571992
12.844445,17,1818.721381
15.106234,17,1818.885013
12.362729,17,1819.03893
12.844445,17,1819.183436
12.689172,17,1819.330135
12.798383,17,1819.476022
15.106234,17,1819.631734
15.189568,17,1819.792826
15.106234,17,1819.950316
15.106234,17,1820.10333
12.689172,17,1820.25191
13.940554,17,1820.402223
12.689172,17,1820.551432
12.74445,17,1820.70181
12.689172,17,1820.872447
15.261508,17,1821.070451
12.689172,17,1821.218493
12.307174,17,1821.373635
13.746109,17,1821.544432
15.189568,17,1821.774571
14.772901,17,1821.928188
12.689172,17,1822.073108
15.23373,17,1822.230433
15.261508,17,1822.40288
15.106234,17,1822.568899
15.189568,17,1822.731642
15.189568,17,1822.92108
15.261508,17,1823.076414
15.289285,17,1823.254371
12.689172,17,1823.463174
12.689172,17,1823.662733
12.689172,17,1823.813996
12.689172,17,1824.011587
12.689172,17,1824.17547
15.106234,17,1824.333994
12.689172,17,1824.480392
15.189568,17,1824.697603
12.689172,17,1824.855767
12.689172,17,1825.0121
12.689172,17,1825.218309
15.106234,17,1825.381763
12.689172,17,1825.552845
15.106234,17,1825.7014
15.23373,17,1825.892375
14.606234,17,1826.050581
12.844445,17,1826.233276
15.106234,17,1826.375649
15.261508,17,1826.571146
15.244846,17,1826.731317
12.689172,17,1826.878641
15.106234,17,1827.034368
12.844445,17,1827.220544
12.689172,17,1827.378798
12.689172,17,1827.542974
15.106234,17,1827.704312
15.106234,17,1827.860534
12.689172,17,1828.005249
12.689172,17,1828.147561
15.106234,17,1828.30299
12.689172,17,1828.449095
12.262734,17,1828.612412
12.689172,17,1828.801893
12.689172,17,1828.956562
15.244846,17,1829.13601
12.262734,17,1829.291783
15.106234,17,1829.449894
15.23373,17,1829.604567
12.689172,17,1829.75234
14.772901,17,1829.911819
15.244846,17,1830.073228
12.798383,17,1830.216135
15.261508,17,1830.369648
12.844445,17,1830.517783
12.689172,17,1830.658355
12.689172,17,1830.815736
14.66179,17,1830.963655
12.689172,17,1831.146899
12.689172,17,1831.30479
15.189568,17,1831.482259
12.689172,17,1831.628768
15.261508,17,1831.782959
12.689172,17,1831.929025
15.189568,17,1832.085113
15.189568,17,1832.272127
15.244846,17,1832.432116
15.189568,17,1832.585799
15.106234,17,1832.73781
12.689172,17,1832.889764
15.244846,17,1833.038545
15.205952,17,1833.197858
12.689172,17,1833.33823
12.689172,17,1833.480887
14.717346,17,1833.629811
15.16179,17,1833.783869
15.205952,17,1833.938979
12.262734,17,1834.088295
12.689172,17,1834.236407
15.106234,17,1834.385985
15.317063,17,1834.546772
15.106234,17,1834.731129
15.189568,17,1834.902344
15.106234,17,1835.06176
15.23373,17,1835.215314
12.689172,17,1835.359488
15.106234,17,1835.545868
12.689172,17,1835.694419
15.217068,17,1835.851544
15.261508,17,1836.021284
15.189291,17,1836.220572
12.689172,17,1836.371458
15.106234,17,1836.51944
12.844445,17,1836.662448
12.689172,17,1836.814958
15.289285,17,1836.987266
15.261508,17,1837.142666
12.689172,17,1837.29283
12.689172,17,1837.436303
12.844445,17,1837.577852
15.106234,17,1837.728531
15.261508,17,1837.89154
12.689172,17,1838.039772
15.289285,17,1838.192896
15.106234,17,1838.335017
15.23373,17,1838.531147
12.689172,17,1838.680976
15.106234,17,1838.859478
15.106234,17,1839.057353
12.689172,17,1839.208649
12.689172,17,1839.358341
15.106234,17,1839.507635
15.189568,17,1839.664861
12.689172,17,1839.809139
12.689172,17,1839.956962
12.689172,17,1840.100669
14.772901,17,1840.254537
15.189568,17,1840.418053
13.801665,17,1840.582067
14.252943,17,1840.729842
15.23373,17,1840.896289
15.261508,17,1841.062574
15.106234,17,1841.238139
15.244846,17,1841.411871
15.189568,17,1841.623368
15.23373,17,1841.810415
15.106234,17,1842.028593
15.106234,17,1842.202683
12.216672,17,1842.383615
12.689172,17,1842.536318
15.050679,17,1842.679353
15.050679,17,1842.824891
15.189568,17,1842.984384
13.829443,17,1843.133839
15.244846,17,1843.31326
15.244846,17,1843.465572
12.689172,17,1843.646666
15.261508,17,1843.810564
15.244846,17,1843.961155
12.844445,17,1844.148204
15.189291,17,1844.309389
15.261508,17,1844.463856
12.689172,17,1844.608252
12.689172,17,1844.757839
15.106234,17,1844.911099
12.418285,17,1845.098877
15.189568,17,1845.255888
12.689172,17,1845.436918
15.189568,17,1845.608768
12.689172,17,1845.758396
12.689172,17,1845.902698
15.244846,17,1846.05428
12.689172,17,1846.198632
15.106234,17,1846.345399
15.106234,17,1846.496505
12.689172,17,1846.640857
12.844445,17,1846.785283
12.689172,17,1846.929872
15.189568,17,1847.081731
12.689172,17,1847.227533
15.244846,17,1847.377855
15.106234,17,1847.531301
12.689172,17,1847.674289
15.106234,17,1847.829049
15.106234,17,1847.976418
14.66179,17,1848.132939
15.106234,17,1848.30427
15.244846,17,1848.461232
12.74445,17,1848.606862
15.244846,17,1848.787672
15.106234,17,1848.94352
15.289285,17,1849.108524
15.189568,17,1849.270156
12.262734,17,1849.427909
12.689172,17,1849.581607
12.844445,17,1849.737773
15.106234,17,1849.904068
15.189568,17,1850.077876
15.106234,17,1850.237508
12.689172,17,1850.38878
13.746109,17,1850.544104
12.689172,17,1850.696497
12.689172,17,1850.858105
15.16179,17,1851.016422
15.106234,17,1851.195547
13.801665,17,1851.356853
15.261508,17,1851.516027
15.106234,17,1851.677246
12.689172,17,1851.827195
15.106234,17,1851.975189
15.217068,17,1852.132202
