#{"t_start": 1764487741.2481077, "env_id": "merge-v0"}
r,l,t
4.207037,5,2.740989
9.783588,12,3.120914
6.772395,8,3.381668
3.326568,4,3.488219
7.759129,9,3.762115
4.220343,5,3.914724
8.683692,10,4.174892
3.849102,5,4.319942
6.493777,8,4.599643
6.075241,7,4.838962
8.57579,11,5.150651
5.095814,6,5.306038
7.364574,9,5.589108
11.447053,13,5.905506
4.124971,5,6.027376
4.87453,6,6.198615
3.957029,5,6.347374
4.275899,5,6.471353
4.154658,5,6.609143
4.141834,5,6.778653
12.66179,14,7.172586
13.355598,16,7.613121
6.633081,8,7.838501
8.015675,10,8.088734
8.687015,11,8.374403
6.818036,8,8.555021
13.995123,16,9.032544
5.764229,7,9.194567
10.285984,12,9.489213
3.388889,4,9.606019
12.596104,15,10.4628
9.410004,11,10.769457
6.20442,7,10.978724
9.638905,11,11.312169
4.227778,5,11.447204
4.932436,6,11.576046
4.164788,5,11.687523
6.06067,7,11.865664
7.897783,10,12.174368
7.103074,9,12.396431
4.05261,5,12.507955
6.856572,8,12.685141
6.839621,8,12.889133
4.196131,5,12.992194
4.923431,6,13.169316
6.967515,8,13.343562
10.475345,14,13.819209
10.282844,14,14.272753
3.166667,4,14.382069
8.624575,10,14.630282
6.793547,8,14.833703
4.885943,6,14.983598
6.563215,8,15.164946
11.389884,13,15.485043
12.547818,16,15.857385
5.799167,7,16.010772
4.994076,6,16.166833
11.055544,15,16.501884
7.335226,9,16.689052
6.627761,8,17.1145
4.958852,6,17.251434
3.366667,4,17.341114
4.177876,5,17.484999
3.872552,5,17.622642
6.081454,7,17.817424
3.98871,5,17.939958
11.13905,13,18.2688
6.685053,8,18.454892
6.111283,7,18.614725
13.300679,15,18.949704
8.952531,11,19.201024
8.263717,10,19.437323
14.411513,16,19.797607
6.957542,8,19.984284
14.38239,17,20.379458
8.116078,10,20.603596
10.258003,13,20.915206
4.960213,6,21.06083
12.079443,15,21.378912
6.114056,7,21.527229
4.219559,5,21.643782
8.763073,10,21.874178
5.034542,6,22.014502
7.09719,8,22.197819
10.71356,15,22.539421
4.025204,5,22.646309
4.027796,5,22.755491
10.482702,12,23.10261
5.891834,7,23.609408
4.946915,6,23.913564
7.558169,9,24.306122
11.128809,16,24.864032
4.913191,6,25.061388
7.775681,9,25.325768
11.604448,14,25.76691
11.021717,13,26.221604
3.815372,5,26.369155
5.911186,7,26.584394
6.664153,8,26.857422
8.083667,9,27.113332
11.363455,15,27.581528
5.135029,6,27.731282
5.021023,6,27.902451
7.885916,9,28.142692
6.628144,8,28.373645
8.500924,11,28.743429
3.859856,5,28.898841
5.125839,6,29.059644
4.081454,5,29.198405
3.248121,4,29.298696
4.10861,5,29.436181
13.022901,15,29.865731
10.385471,13,30.262172
4.943983,6,30.420932
4.965624,6,30.569252
8.004749,9,30.788722
6.061368,7,30.970451
8.655051,10,31.216669
8.314389,10,31.835654
4.933831,6,32.089082
11.580319,16,32.61186
13.521001,15,33.027859
4.967011,6,33.167463
6.033333,7,33.361565
4.921844,6,33.506305
8.294802,10,33.781548
11.195432,13,34.130137
8.326502,10,34.368565
11.709714,16,34.752556
13.856234,16,35.208497
7.214166,9,35.448568
11.250266,15,35.834984
11.048756,14,36.25319
4.112733,5,36.392487
13.522899,15,36.776241
6.952642,8,36.972519
4.12685,5,37.088058
5.877852,7,37.250201
4.937123,6,37.39281
8.895926,10,37.641156
6.144003,7,37.789711
5.095814,6,37.962307
11.513622,14,38.371687
11.913375,16,39.106997
11.53668,13,39.508891
4.792138,6,39.666686
13.521279,15,40.137997
