#{"t_start": 1765410986.8188212, "env_id": "None"}
r,l,t
50.513844,14,722.03884
50.513844,14,722.07989
50.513844,14,722.117231
50.513844,14,722.158246
50.513844,14,722.197792
50.513844,14,722.23677
50.513844,14,722.276151
50.513844,14,722.313685
50.513844,14,722.350616
50.513844,14,722.388265
50.513844,14,722.42603
50.513844,14,722.464701
50.513844,14,722.505907
50.513844,14,722.546916
50.513844,14,722.588345
50.513844,14,722.634526
50.513844,14,722.673539
50.513844,14,722.712686
50.513844,14,722.751761
50.513844,14,722.790555
50.513844,14,722.82893
50.513844,14,722.869766
50.513844,14,722.912438
50.513844,14,722.952846
50.513844,14,722.990914
50.513844,14,723.027212
50.513844,14,723.063282
50.513844,14,723.099326
50.513844,14,723.135901
50.513844,14,723.171922
50.513844,14,723.244394
50.513844,14,723.306792
50.513844,14,723.360228
50.513844,14,723.406806
50.513844,14,723.460912
50.513844,14,723.510253
50.513844,14,723.550903
50.513844,14,723.587284
50.513844,14,723.624294
50.513844,14,723.663377
50.513844,14,723.701391
50.513844,14,723.738105
50.513844,14,723.774482
50.513844,14,723.810383
50.513844,14,723.846727
50.513844,14,723.883035
50.513844,14,723.919142
50.513844,14,723.955165
50.513844,14,723.991176
50.513844,14,724.027152
50.513844,14,724.063099
50.513844,14,724.099147
50.513844,14,724.135082
50.513844,14,724.170998
50.513844,14,724.207178
50.513844,14,724.243147
50.513844,14,724.278903
50.513844,14,724.315276
50.513844,14,724.351208
50.513844,14,724.387191
50.513844,14,724.423739
50.513844,14,724.461129
50.513844,14,724.497768
50.513844,14,724.534582
50.513844,14,724.656489
50.513844,14,724.694362
50.513844,14,724.733271
50.513844,14,724.779548
50.513844,14,724.825116
50.513844,14,724.86848
50.513844,14,724.912192
50.513844,14,724.956313
50.513844,14,724.998131
50.513844,14,725.036904
50.513844,14,725.07477
50.513844,14,725.112458
50.513844,14,725.149564
50.513844,14,725.186498
50.513844,14,725.223037
50.513844,14,725.259123
50.513844,14,725.295142
50.513844,14,725.331308
50.513844,14,725.367203
50.513844,14,725.403217
50.513844,14,725.439264
50.513844,14,725.475137
50.513844,14,725.513735
50.513844,14,725.552376
50.513844,14,725.588849
50.513844,14,725.62512
50.513844,14,725.662161
50.513844,14,725.698469
50.513844,14,725.73467
50.513844,14,725.770778
50.513844,14,725.806854
50.513844,14,725.842837
50.513844,14,725.878857
50.513844,14,725.914799
50.513844,14,725.950815
50.513844,14,725.986896
50.513844,14,726.022755
50.513844,14,726.058655
50.513844,14,726.094767
50.513844,14,726.1308
50.513844,14,726.166922
50.513844,14,726.204313
50.513844,14,726.242177
50.513844,14,726.279831
50.513844,14,726.317076
50.513844,14,726.353425
50.513844,14,726.389994
50.513844,14,726.426267
50.513844,14,726.462318
50.513844,14,726.498497
50.513844,14,726.534648
50.513844,14,726.570564
50.513844,14,726.606653
50.513844,14,726.642691
50.513844,14,726.686291
50.513844,14,726.729369
50.513844,14,726.769333
50.513844,14,726.808539
50.513844,14,726.846192
50.513844,14,726.883141
50.513844,14,726.920285
50.513844,14,726.956936
50.513844,14,726.993562
50.513844,14,727.029863
50.513844,14,727.066581
50.513844,14,727.103206
50.513844,14,727.13975
50.513844,14,727.178751
50.513844,14,727.217194
50.513844,14,727.254696
50.513844,14,727.29134
50.513844,14,727.32799
50.513844,14,727.364515
50.513844,14,727.400821
50.513844,14,727.438092
50.513844,14,727.47454
