#{"t_start": 1765410984.43082, "env_id": "None"}
r,l,t
-5.463337,3,3.466121
-5.507295,3,3.495761
-5.329179,2,3.522449
-5.541698,4,3.562704
-5.468648,5,3.605871
-5.130152,3,3.629466
-5.297715,2,3.648386
-5.307953,2,3.667738
-5.474384,3,3.692336
-5.26861,4,3.723237
-5.130118,2,3.740605
-2.354656,6,3.779648
-5.238656,3,3.799983
-5.324722,2,3.81461
-5.400014,3,3.836152
-5.254681,3,3.858873
-10.949234,8,3.922941
-5.551102,7,3.975178
-5.130779,2,3.992352
-5.722948,5,4.033854
-5.311702,2,4.055431
-5.303428,2,4.077987
-5.618318,4,4.119487
-5.328525,2,4.134851
-5.311348,2,4.147105
-5.510072,3,4.171376
-6.092677,12,4.254224
-5.410237,3,4.276714
-5.828244,6,4.321815
-5.204065,3,4.342128
-5.453019,6,4.384612
-5.47559,3,4.403153
-5.390703,5,4.434271
-5.968887,8,4.490471
-5.412301,5,4.52476
-5.168636,3,4.545025
-5.893334,11,4.627611
-5.298522,2,4.642901
0.520728,8,4.70686
-5.320293,2,4.725353
-5.224908,3,4.749228
-5.307155,3,4.777416
-5.29226,3,4.801909
-10.97505,7,4.857658
-5.534781,4,4.889119
-5.98774,9,4.945475
-5.487122,3,4.966655
-5.522865,5,5.005221
-5.476955,3,5.027469
-5.502269,4,5.053766
-5.310914,3,5.074307
-5.673072,5,5.109815
-5.491429,3,5.129688
-5.294941,5,5.162138
-5.33429,4,5.191265
-6.312119,9,5.252511
-5.315214,3,5.275374
-5.323449,2,5.291555
-5.225542,3,5.312668
-5.615581,4,5.344181
-5.299454,2,5.358456
-5.34504,4,5.387366
-5.69615,5,5.725595
-5.660187,4,5.753539
-5.993543,8,5.808993
-1.630998,14,5.899153
-2.321364,5,5.93204
-5.312827,8,5.984472
-2.983004,14,6.070551
-5.451026,3,6.09392
-5.201662,2,6.107489
-5.683152,10,6.176857
-5.265604,5,6.211059
-5.130779,2,6.22464
-5.294529,5,6.25672
0.63399,6,6.292147
-5.325226,4,6.316831
-5.184149,2,6.329392
-5.312542,4,6.359855
-2.54457,6,6.399251
-5.426909,9,6.452083
-5.605086,5,6.484651
-5.782025,14,6.573232
-5.304361,4,6.598081
-5.185103,2,6.612031
-5.130779,2,6.623298
-5.263772,6,6.667997
-5.190044,4,6.691389
-5.415185,7,6.730477
-5.900066,8,6.782885
-5.211169,3,6.804475
-5.668961,8,6.860268
-5.593359,5,6.889024
-6.486352,14,6.995858
-5.305439,3,7.017603
